PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,7.4474,7.2547,7.4945,5.6511,0.0000,5.1888,5.5081,5.1760,2.2028,2.3571
Abra De Ilog,3.8654,6.6208,6.8745,5.1345,0.0000,4.7576,5.1687,4.6669,1.8220,2.3202
Abucay,3.6047,12.7873,11.5329,7.7613,0.0000,6.3905,6.3317,6.0342,3.3598,3.6944
Abulug,-,-,7.7436,6.2363,0.0000,5.0835,6.5544,6.5946,3.1454,4.2932
Abuyog,8.2333,7.4922,7.4589,6.9162,0.0000,4.4473,6.0245,6.0446,2.5780,4.0500
Adams,-,-,8.1937,5.0212,0.0000,3.8071,4.2437,5.9825,2.2027,3.8215
Agno,-,-,4.5190,5.4385,0.0000,5.7759,4.9296,4.7975,2.7694,2.3886
Aguilar,-,-,7.7534,6.0938,0.0000,5.3058,4.7881,4.3780,3.4465,3.1920
Aguinaldo,-,-,-,4.2058,0.0000,4.8624,4.3040,4.9631,1.4712,1.8598
Ajuy,-,3.4984,6.5675,5.2214,0.0000,4.9366,4.9886,4.1657,1.9097,2.2012
Akbar,-,-,-,-,-,-,-,-,1.4132,2.4292
Al-Barka,-,-,-,-,-,-,-,-,0.1172,2.2071
Alabat,-,-,8.4048,6.2963,0.0000,5.2254,6.3492,5.7080,3.4546,4.4077
Alamada,8.5202,7.6158,7.5041,5.7632,0.0000,5.7140,5.3882,5.3865,2.1220,2.2908
Alaminos (LA),-,2.0952,11.3392,7.8826,0.0000,5.2270,6.7109,6.7574,3.8302,3.7536
Alaminos (PS),6.4206,10.5614,10.1433,7.6118,8.1250,6.7600,6.8031,7.3873,4.6501,4.2090
Alang-Alang,-,0.1793,0.1060,2.7767,0.0000,4.2499,4.9819,4.7267,0.9532,2.3378
Albuera,-,9.0939,10.7643,6.5491,0.0000,5.3103,5.9448,5.2109,2.7486,2.8570
Alburquerque,-,7.4674,9.2182,5.7879,0.0000,5.4751,6.5968,5.8318,3.2616,4.4986
Alcala (CG),-,-,6.4665,5.4440,0.0000,3.4496,5.4207,5.6829,3.1021,3.0227
Alcantara (CU),-,7.3534,6.7674,4.7550,0.0000,5.1660,5.1378,5.6907,2.4743,3.7448
Alcoy,-,8.1153,8.4313,6.3354,0.0000,5.0227,5.9233,5.5471,2.5357,5.1199
Alegria (CU),-,7.8959,8.3309,5.9150,0.0000,5.2489,5.1036,5.1316,2.8414,2.5353
Alegria (SN),-,6.2626,6.0505,6.0235,0.0000,5.8490,6.0857,6.8468,2.6563,3.6706
Aleosan,6.1336,8.2874,8.3052,6.4603,0.0000,5.6160,5.5887,5.8943,3.2742,2.8927
Alfonso Castaneda,-,-,5.9633,4.9267,0.0000,4.7281,4.5836,4.6747,1.7581,2.2500
Alfonso Lista,-,7.4679,8.7463,6.1453,0.0000,5.2438,4.9574,5.0843,2.7083,2.7351
Aliaga,-,-,-,5.1753,0.0000,5.5065,5.1038,5.1665,1.7886,2.2377
Alicia (BL),-,8.3195,9.5804,6.5578,0.0000,5.2665,4.7679,4.9771,2.5659,2.2765
Alicia (IA),0.6243,7.5368,6.1078,5.6244,0.0000,5.3903,4.8577,5.2571,1.9622,2.4225
Alicia (ZS),-,2.9118,6.5002,3.3328,0.0000,3.5245,4.0266,4.5915,2.5529,2.3670
Alilem,-,6.9869,6.2825,5.3811,0.0000,4.1460,3.7857,3.8726,2.3484,2.3080
Alimodian,-,7.2924,8.6078,6.7348,0.0000,6.2015,6.6560,6.3929,2.9493,3.0837
Alitagtag,-,-,8.8235,6.2793,0.0000,5.5435,5.1731,5.2610,2.9311,3.4004
Allacapan,-,8.2258,9.0994,9.6081,0.0000,6.7531,6.4224,6.4269,2.9315,3.2494
Allen,-,-,8.7540,6.3928,0.0000,5.4100,6.3697,6.6823,3.7738,6.3496
Almagro,-,-,-,4.4230,0.0000,4.3659,4.6466,3.2461,2.0607,3.2190
Almeria,-,-,6.2347,5.7776,0.0000,4.4801,6.0417,5.8059,3.3159,4.1661
Aloguinsan,-,6.9846,8.1926,6.1674,0.0000,5.4568,5.4061,5.1273,2.6876,2.5517
Aloran,-,7.8699,8.4308,5.7500,0.0000,5.3133,5.5507,5.5471,2.8367,2.6866
Altavas,-,-,-,5.5252,0.0000,5.0407,5.0402,5.1023,3.0395,2.7764
Alubijid,7.9099,9.0228,9.2014,6.2799,0.0000,5.9556,6.5747,5.0199,2.9937,3.1216
Amadeo,-,-,10.2884,6.5909,0.0000,5.8425,5.6871,6.2309,3.7853,3.8485
Amai Manabilang,-,-,-,-,-,-,-,3.7252,2.1165,1.7899
Ambaguio,-,-,5.8238,5.0834,0.0000,4.4836,5.3586,4.6271,0.5125,0.9020
Amlan,-,8.1378,9.6788,6.4140,0.0000,5.3462,5.1516,5.4418,2.6361,2.7122
Ampatuan,-,-,-,-,-,-,-,4.2476,2.0133,2.9875
Amulung,-,5.1553,6.7032,0.5244,0.0000,5.1253,4.7221,4.7599,1.9150,2.5568
Anahawan,-,-,-,3.8774,0.0000,3.9903,3.9202,4.9692,2.0896,3.3585
Anao,-,0.1795,7.5784,4.5504,0.0000,5.1898,5.9595,5.4816,2.6963,4.1363
Anda (BL),-,6.3022,8.5691,4.6664,0.0000,5.4799,6.4589,6.3742,2.9046,5.2125
Anda (PS),-,-,5.3592,6.2106,0.0000,5.4595,5.1110,4.7546,3.0090,2.8906
Angat,7.5277,8.1666,6.4298,5.0213,0.0000,0.7120,5.5641,3.7970,2.1088,2.7697
Angeles,12.6289,8.7530,8.6391,5.7590,4.6980,5.0950,4.9067,5.2734,4.4292,4.3025
Angono,9.8943,13.7279,14.4000,10.9244,0.0000,8.7247,8.8084,8.3175,4.8231,5.7093
Anilao,-,7.9203,8.2098,5.4871,0.0000,5.2745,5.0200,5.1751,2.4414,2.4831
Anini-Y,-,-,6.7060,4.9511,0.0000,5.5007,5.0396,4.8490,2.6464,2.5056
Antequera,-,6.7497,8.3880,6.3570,0.0000,5.2778,5.4111,5.3563,2.6458,2.4604
Antipas,0.1791,6.9140,7.1764,6.0690,0.0000,5.7021,5.8174,6.1014,2.1512,2.6588
Antipolo,10.2972,15.3975,15.0092,14.8403,11.5599,13.4534,12.8423,12.7429,7.4955,9.9004
Apalit,-,-,7.8168,2.8144,0.0000,6.2138,6.0081,6.1465,2.5318,3.0836
Aparri,7.6368,7.3773,9.3021,6.4286,0.0000,5.8404,5.5605,5.0677,2.5696,2.8398
Araceli,-,-,-,-,0.0000,0.0078,3.1577,2.8003,1.3895,2.0333
Arakan,0.3779,7.2896,7.7557,6.1046,0.0000,5.6104,5.5126,5.6359,1.8355,2.2618
Arayat,-,-,1.5610,1.3051,0.0000,5.0858,5.6142,5.8269,2.3869,3.0610
Argao,12.0947,10.0276,8.9403,6.5198,0.0000,5.9203,6.3063,6.2089,2.8102,3.2408
Aringay,0.3807,5.3598,7.1874,5.4005,0.0000,5.2225,5.1539,4.9760,2.0936,2.7421
Aritao,-,-,1.5282,4.7038,0.0000,5.4768,5.1859,4.9311,1.9251,2.3103
Aroroy,0.2670,7.3492,9.0410,6.8986,0.0000,6.0070,5.8008,5.6591,2.3683,2.6322
Arteche,-,-,-,2.6467,0.0000,4.3142,3.6192,4.7666,2.7408,2.5111
Asingan,-,-,6.7117,6.0677,0.0000,5.4299,5.3186,5.0175,2.2329,2.6385
Asipulo,-,-,6.1639,3.0791,0.0000,4.2918,5.2580,5.6625,2.6616,3.5262
Asturias,-,8.1185,9.3395,6.0240,0.0000,5.6288,5.5370,5.8397,0.4313,2.5650
Asuncion,6.4485,5.9406,6.3221,4.1142,0.0000,3.6713,4.9642,4.9998,2.9030,1.3831
Atimonan,7.9465,6.9991,6.5786,7.4322,0.0000,5.2448,5.4808,5.1835,2.5901,2.8269
Atok,-,7.7221,7.9543,5.4411,0.0000,4.9467,4.4831,4.3694,2.2455,2.1665
Aurora (IA),-,8.2753,10.8407,6.5720,0.0000,6.3109,6.6908,6.1166,3.1310,3.3941
Aurora (ZR),7.1991,8.3570,8.4511,5.4438,0.0000,0.7506,5.5861,6.2003,2.2623,2.6920
Ayungon,-,8.7788,8.2991,4.9524,0.0000,4.9995,4.7811,4.9253,1.9308,2.4306
Agdangan,-,-,6.7317,6.0761,0.0000,4.5865,4.9769,4.0778,2.8173,4.3798
Aglipay,-,-,6.0004,4.8243,0.0000,5.4939,5.7373,5.5658,2.9867,2.7813
Agoncillo,-,-,5.0989,4.0005,0.0000,3.2529,3.3369,3.2959,1.4113,2.7663
Agoo,5.5102,7.4811,9.7108,7.5467,0.0000,6.2759,6.4792,6.4889,2.9737,3.5116
Agutaya,-,-,-,-,0.0000,0.0044,0.7497,2.1284,2.3633,2.4968
Alabel,9.2257,9.5166,8.4579,6.5090,0.0000,6.4086,6.6395,6.9329,3.1792,3.5727
Alcala (PS),-,-,7.5174,6.4944,0.0000,5.5814,5.6313,5.4254,4.7960,3.4377
Alcantara (RN),2.7929,5.5996,8.5559,6.4023,0.0000,0.0126,5.5264,5.2144,2.1828,3.9864
Alfonso,7.2201,6.6950,7.9025,5.8159,0.0000,5.5832,5.6157,5.9189,2.2422,3.0799
Angadanan,-,5.6158,5.2442,5.9823,0.0000,4.8162,5.0375,5.1275,2.7766,2.7940
