LGUs,Category,LGU Score Percentage,Province,Revenue
Aborlan,First Class Municipality,0.081,Palawan,432614196.8
Abra De Ilog,Second Class Municipality,0.139,Occidental Mindoro,305923432.4
Abucay,Third Class Municipality,0.049,Bataan,240093376.4
Abulug,Third Class Municipality,0.022,Cagayan,24802507.66
Abuyog,First Class Municipality,0.077,Leyte Province,432522098.7
Adams,Fifth Class Municipality,0.014,Ilocos Norte,160487674.4
Agdangan,Fifth Class Municipality,0.008,Quezon,101754484.8
Aglipay,Third Class Municipality,0.095,Quirino,7014257.18
Agno,Third Class Municipality,0.011,Pangasinan,196910199.9
Agoncillo,Fourth Class Municipality,0.008,Batangas Province,31748738.06
Agoo,First Class Municipality,0.051,La Union,137908327.4
Aguilar,Third Class Municipality,0.015,Pangasinan,242296160
Aguinaldo,Second Class Municipality,0.174,Ifugao,273959592.1
Agutaya,Fifth Class Municipality,0.008,Palawan,3690379.5
Ajuy,Second Class Municipality,0.016,Iloilo Province,11747697.35
Akbar,Fifth Class Municipality,0.028,Basilan,60000
Al-Barka,Sixth Class Municipality,0.028,Basilan,0
Alabat,Fifth Class Municipality,0.005,Quezon,15320573.46
Alabel,First Class Municipality,0.159,Sarangani,517172567.9
Alamada,First Class Municipality,0.056,Cotabato (North Cotabato),480802189.3
Alaminos (LA),Third Class Municipality,0.01,Laguna,75683851.71
Alaminos (PS),Component City,0.047,Pangasinan,1022515242
Alang-Alang,Second Class Municipality,0.019,Leyte Province,23562771.05
Albuera,Third Class Municipality,0.02,Leyte Province,40537921.51
Alburquerque,Fifth Class Municipality,0.015,Bohol,108574314
Alcala (CG),Third Class Municipality,0.02,Cagayan,14778122.65
Alcala (PS),Third Class Municipality,0.019,Pangasinan,347710140.9
Alcantara (CU),Fifth Class Municipality,0.003,Cebu Province,4158376.23
Alcantara (RN),Fifth Class Municipality,0.033,Romblon Province,5246715.1
Alcoy,Fifth Class Municipality,0.004,Cebu Province,16552437.38
Alegria (CU),Fourth Class Municipality,0.005,Cebu Province,13703261.67
Alegria (SN),Fifth Class Municipality,0.017,Surigao Del Norte,9539567.81
Aleosan,Third Class Municipality,0.03,Cotabato (North Cotabato),235110534.8
Alfonso,First Class Municipality,0.014,Cavite,339494758.2
Alfonso Castaneda,First Class Municipality,0.016,Nueva Vizcaya,14361286.78
Alfonso Lista,Third Class Municipality,0.118,Ifugao,84645245.03
Aliaga,Second Class Municipality,0.03,Nueva Ecija,193199056.5
