PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,2.0353,5.4102,6.4617,4.3851,0.0000,3.2759,3.3215,4.8368,4.0926,2.6335
Abra De Ilog,5.0390,5.6067,6.9022,4.5307,0.0000,4.0851,2.7845,3.1806,3.7084,2.5970
Abucay,6.4023,10.7880,8.9120,4.6022,0.0000,6.5393,6.8936,6.0729,6.5917,5.0422
Abulug,-,-,7.3423,4.1544,0.0000,5.6378,7.3646,5.7954,5.6380,6.0698
Abuyog,7.8755,3.8054,7.0146,5.5439,0.0000,4.0354,4.2921,4.7338,4.0901,3.4195
Adams,-,-,5.3424,1.9245,0.0000,3.1043,3.5383,3.9448,3.4522,2.0368
Agno,-,-,4.9922,4.0106,0.0000,4.4924,7.1075,6.0222,6.7107,4.1059
Aguilar,-,-,7.4428,3.8572,0.0000,4.4383,5.5184,4.4024,4.9760,3.5525
Aguinaldo,-,-,-,2.5686,0.0000,3.7476,2.9326,3.7384,3.9749,3.3283
Ajuy,-,4.4104,4.8833,4.0963,0.0000,3.4560,4.3018,4.3915,3.9018,3.0980
Akbar,-,-,-,-,-,-,-,-,3.4279,2.3791
Al-Barka,-,-,-,-,-,-,-,-,2.0297,2.2470
Alabat,-,-,8.3477,4.2620,0.0000,4.2878,6.0405,5.2583,4.9501,4.2400
Alamada,9.1905,6.8269,6.7432,3.8986,0.0000,2.9479,4.3551,3.2825,3.9497,2.9683
Alaminos (LA),-,10.0718,10.3146,5.3181,0.0000,6.0297,6.7057,6.1641,6.0076,5.1290
Alaminos (PS),8.6477,7.8994,9.1956,5.0128,4.6011,3.8475,5.6260,4.6339,3.7630,3.1570
Alang-Alang,-,0.4867,5.3197,3.7254,0.0000,3.3767,3.5023,4.8161,3.8172,2.9016
Albuera,-,2.1026,8.0832,4.6737,0.0000,5.1912,5.4590,6.1235,5.4258,4.5213
Alburquerque,-,7.2920,7.4091,3.2947,0.0000,3.9118,7.9645,6.5373,4.2727,3.2142
Alcala (CG),-,-,6.0543,3.3305,0.0000,1.7411,6.2071,5.3432,5.4455,3.7889
Alcantara (CU),-,6.7384,5.9088,2.7492,0.0000,3.9346,4.7197,5.6281,4.1864,4.6627
Alcoy,-,8.5109,7.9649,3.2525,0.0000,4.4850,6.1334,7.0959,4.7762,4.1215
Alegria (CU),-,8.1103,8.2333,2.9296,0.0000,4.5494,6.0627,5.9408,4.7620,3.9039
Alegria (SN),-,6.0218,6.8957,3.5055,0.0000,4.3997,5.7436,5.8449,4.6625,3.7076
Aleosan,8.2996,7.3232,7.4507,3.7784,0.0000,4.2772,6.2782,4.4189,5.1058,3.9169
Alfonso Castaneda,-,-,8.2305,6.4270,0.0000,3.3541,3.5132,2.8715,3.7489,2.4752
Alfonso Lista,-,12.3976,10.6942,5.1723,0.0000,8.4367,8.6618,7.4927,6.6659,7.1107
Aliaga,-,-,-,3.9961,0.0000,4.4471,3.5473,3.2603,3.7760,2.5557
Alicia (BL),-,8.3908,7.9213,3.8441,0.0000,4.2926,6.3073,5.7465,4.8440,4.6021
Alicia (IA),4.7207,8.6531,5.4836,4.2851,0.0000,4.7432,4.6379,3.2762,4.4696,3.4137
Alicia (ZS),-,3.4985,5.3581,2.0461,0.0000,3.4247,5.2762,3.6252,3.7622,2.2985
Alilem,-,6.7270,5.9827,3.7189,0.0000,4.4772,4.8655,4.0775,4.7896,2.8021
Alimodian,-,7.3570,5.5222,3.7043,0.0000,4.6793,6.3600,5.1289,4.8267,4.0208
Alitagtag,-,-,7.9264,4.6046,0.0000,5.0112,5.9668,5.3032,5.5204,4.1223
Allacapan,-,8.9698,7.8728,4.3618,0.0000,5.2027,8.0056,5.8615,6.8287,5.2468
Allen,-,-,6.6222,4.9112,0.0000,4.5250,8.1737,6.0657,5.6172,5.5110
Almagro,-,-,-,4.4462,0.0000,2.8928,4.3492,2.6153,1.5281,2.7907
Almeria,-,-,7.5367,3.6869,0.0000,4.3868,6.8345,6.4210,5.0370,4.0154
