PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,9.0672,15.1771,12.2955,10.5191,0.0000,9.2703,7.7558,8.3503,7.0608,8.4853
Abra De Ilog,8.9574,12.1088,6.8074,5.0863,0.0000,5.0153,5.1095,5.9111,3.9974,8.9145
Abucay,9.6964,18.1160,12.7248,4.7923,0.0000,11.5857,10.8242,9.2626,8.3890,8.4619
Abulug,-,-,7.2348,9.1858,0.0000,10.3894,8.5500,9.2764,3.6888,6.2870
Abuyog,13.5972,8.8516,4.1172,7.9061,0.0000,10.6050,10.4497,9.8379,7.9118,9.6887
Adams,-,-,12.3263,8.3799,0.0000,6.7811,9.7998,9.1817,7.2258,8.7174
Agno,-,-,3.2744,9.0620,0.0000,8.3060,7.8686,9.6247,7.8364,6.9039
Aguilar,-,-,6.1930,12.5224,0.0000,9.6281,10.7684,9.2074,8.3229,8.4656
Aguinaldo,-,-,-,2.9326,0.0000,8.8804,9.1596,9.0151,7.4668,8.7745
Ajuy,-,2.9997,7.8330,7.5123,0.0000,10.1753,10.2062,9.6379,7.8216,8.4462
Akbar,-,-,-,-,-,-,-,-,4.8710,3.0590
Al-Barka,-,-,-,-,-,-,-,-,2.0000,2.6758
Alabat,-,-,11.7383,11.4950,0.0000,7.3431,8.2474,9.9427,8.0465,8.2851
Alamada,16.9229,16.5590,12.1422,11.5912,0.0000,10.7329,10.9094,9.5933,7.3329,9.3846
Alaminos (LA),-,6.8303,10.5903,9.7229,0.0000,10.9726,13.4281,9.1235,9.1528,7.2370
Alaminos (PS),15.4803,18.3612,13.2543,11.2336,10.2461,8.8870,10.2622,9.5130,9.5677,9.6152
Alang-Alang,-,1.8690,7.0775,3.8165,0.0000,8.6125,8.7528,10.0128,6.2913,9.6129
Albuera,-,3.3867,8.2918,11.1691,0.0000,10.2342,9.4236,8.5178,8.3611,7.8867
Alburquerque,-,8.8156,11.7273,8.9762,0.0000,10.9834,10.7819,10.3206,8.3773,8.8931
Alcala (CG),-,-,6.1796,9.7593,0.0000,7.1903,10.4155,8.4096,6.4991,6.7630
Alcantara (CU),-,4.8420,3.6731,6.2744,0.0000,10.5215,7.8627,6.1767,5.4327,3.1055
Alcoy,-,12.3850,9.6233,5.8824,0.0000,12.1409,9.7032,9.7669,4.0990,9.2446
Alegria (CU),-,16.8237,4.9122,7.7391,0.0000,11.3788,10.9676,10.1814,8.9386,7.6630
Alegria (SN),-,13.6548,8.5124,9.2268,0.0000,8.5033,10.8765,8.3984,7.2561,8.6318
Aleosan,16.4353,17.0323,11.0602,12.7160,0.0000,12.5809,12.4390,9.8952,8.8009,8.3395
Alfonso Castaneda,-,-,5.0327,9.5436,0.0000,8.3372,6.3159,6.0159,7.5760,7.3168
Alfonso Lista,-,14.0637,8.9302,10.2710,0.0000,11.2534,10.5955,10.7821,9.6638,8.7557
