PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,-,-,-,-,-,-,-,-,4.1793,5.2151
Abra De Ilog,-,-,-,-,-,-,-,-,2.0104,3.7217
Abucay,-,-,-,-,-,-,-,-,4.4253,5.4156
Abulug,-,-,-,-,-,-,-,-,0.8044,2.6021
Abuyog,-,-,-,-,-,-,-,-,4.4369,3.0234
Adams,-,-,-,-,-,-,-,-,3.7778,3.4969
Agno,-,-,-,-,-,-,-,-,0.8232,1.1379
Aguilar,-,-,-,-,-,-,-,-,3.6206,5.6035
Aguinaldo,-,-,-,-,-,-,-,-,2.7198,2.7676
Ajuy,-,-,-,-,-,-,-,-,5.0391,7.0289
Akbar,-,-,-,-,-,-,-,-,2.3334,1.6671
Al-Barka,-,-,-,-,-,-,-,-,0.0000,1.3334
Alabat,-,-,-,-,-,-,-,-,3.8761,5.0463
Alamada,-,-,-,-,-,-,-,-,3.4105,6.0470
Alaminos (LA),-,-,-,-,-,-,-,-,6.3471,7.0424
Alaminos (PS),-,-,-,-,-,-,-,-,4.8160,7.4778
Alang-Alang,-,-,-,-,-,-,-,-,3.3572,3.8852
Albuera,-,-,-,-,-,-,-,-,4.4421,3.5514
Alburquerque,-,-,-,-,-,-,-,-,6.4479,7.4373
Alcala (CG),-,-,-,-,-,-,-,-,1.2354,4.4906
Alcantara (CU),-,-,-,-,-,-,-,-,2.7267,4.9501
Alcoy,-,-,-,-,-,-,-,-,1.7388,3.8007
Alegria (CU),-,-,-,-,-,-,-,-,4.4204,6.5123
Alegria (SN),-,-,-,-,-,-,-,-,5.0191,5.3504
Aleosan,-,-,-,-,-,-,-,-,3.6818,3.7402
Alfonso Castaneda,-,-,-,-,-,-,-,-,3.3382,4.4489
Alfonso Lista,-,-,-,-,-,-,-,-,3.9250,5.1870
Aliaga,-,-,-,-,-,-,-,-,1.9397,0.6967
Alicia (BL),-,-,-,-,-,-,-,-,3.7319,2.7319
Alicia (IA),-,-,-,-,-,-,-,-,4.4547,3.8151
Alicia (ZS),-,-,-,-,-,-,-,-,2.3781,3.7108
Alilem,-,-,-,-,-,-,-,-,2.0435,1.4382
Alimodian,-,-,-,-,-,-,-,-,7.4124,7.2682
Alitagtag,-,-,-,-,-,-,-,-,4.4944,8.0136
Allacapan,-,-,-,-,-,-,-,-,6.6112,6.9556
Allen,-,-,-,-,-,-,-,-,5.2274,7.2387
Almagro,-,-,-,-,-,-,-,-,0.6867,0.8334
Almeria,-,-,-,-,-,-,-,-,6.3920,2.8500
Aloguinsan,-,-,-,-,-,-,-,-,3.7787,3.7983
Aloran,-,-,-,-,-,-,-,-,4.5551,7.4348
Altavas,-,-,-,-,-,-,-,-,4.4509,3.6153
Alubijid,-,-,-,-,-,-,-,-,5.2257,5.4252
Amadeo,-,-,-,-,-,-,-,-,5.0402,3.3764
Amai Manabilang,-,-,-,-,-,-,-,-,3.1486,2.5064
Ambaguio,-,-,-,-,-,-,-,-,1.7067,4.3546
Amlan,-,-,-,-,-,-,-,-,3.7319,3.8570
Ampatuan,-,-,-,-,-,-,-,-,3.8123,7.1088
Amulung,-,-,-,-,-,-,-,-,2.6937,2.9917
Anahawan,-,-,-,-,-,-,-,-,1.7622,3.0834
Anao,-,-,-,-,-,-,-,-,5.4462,5.3710
Anda (BL),-,-,-,-,-,-,-,-,3.1223,3.9404
Anda (PS),-,-,-,-,-,-,-,-,1.4942,1.7158
Angat,-,-,-,-,-,-,-,-,2.0177,6.9845
Angeles,-,-,-,-,-,-,-,-,7.3254,7.5084
Angono,-,-,-,-,-,-,-,-,7.3279,7.9219
Anilao,-,-,-,-,-,-,-,-,6.3986,5.4204
Anini-Y,-,-,-,-,-,-,-,-,3.8189,3.1522
Antequera,-,-,-,-,-,-,-,-,2.0435,1.3769
Antipas,-,-,-,-,-,-,-,-,5.8668,5.2172
Antipolo,-,-,-,-,-,-,-,-,8.6517,9.2828
Apalit,-,-,-,-,-,-,-,-,3.5508,4.2782
Aparri,-,-,-,-,-,-,-,-,3.8192,3.8881
Araceli,-,-,-,-,-,-,-,-,0.0435,1.7102
Arakan,-,-,-,-,-,-,-,-,2.1751,2.7398
Arayat,-,-,-,-,-,-,-,-,4.0892,4.2659
Argao,-,-,-,-,-,-,-,-,9.4303,9.2821
Aringay,-,-,-,-,-,-,-,-,2.4012,5.2091
Aritao,-,-,-,-,-,-,-,-,2.7098,3.5936
Aroroy,-,-,-,-,-,-,-,-,2.6774,3.6984
Arteche,-,-,-,-,-,-,-,-,4.3842,4.3849
Asingan,-,-,-,-,-,-,-,-,4.5914,4.6927
Asipulo,-,-,-,-,-,-,-,-,4.3742,6.5542
Asturias,-,-,-,-,-,-,-,-,1.1040,4.5083
Asuncion,-,-,-,-,-,-,-,-,3.3477,3.3534
Atimonan,-,-,-,-,-,-,-,-,4.4690,8.3315
Atok,-,-,-,-,-,-,-,-,2.3986,0.7844
Aurora (IA),-,-,-,-,-,-,-,-,2.8701,3.6079
Aurora (ZR),-,-,-,-,-,-,-,-,3.3369,4.3932
Ayungon,-,-,-,-,-,-,-,-,2.4017,2.5902
Agdangan,-,-,-,-,-,-,-,-,4.6422,5.5426
Aglipay,-,-,-,-,-,-,-,-,3.6645,2.8358
Agoncillo,-,-,-,-,-,-,-,-,3.9115,7.2720
Agoo,-,-,-,-,-,-,-,-,3.0532,6.9848
Agutaya,-,-,-,-,-,-,-,-,1.3867,1.5097
Alabel,-,-,-,-,-,-,-,-,5.3751,5.8045
Alcala (PS),-,-,-,-,-,-,-,-,1.8715,1.9136
Alcantara (RN),-,-,-,-,-,-,-,-,3.7622,4.0166
Alfonso,-,-,-,-,-,-,-,-,5.2346,9.2823
Angadanan,-,-,-,-,-,-,-,-,1.7525,3.6639
