LGUs,Distance (km),Distance (mi)
Aborlan,632.77,393.18
Abra De Ilog,129.33,80.36
Abucay,49.76,30.92
Abuyog,610.31,379.23
Abulug,424.01,263.46
Adams,429.31,266.76
Agdangan,128.13,79.62
Aglipay,222.03,137.96
Agno,210.09,130.54
Agoncillo,71.01,44.13
Agoo,204.28,126.93
Aguilar,163.54,101.62
Aguinaldo,269.16,167.25
Agutaya,381.49,237.05
Ajuy,449.6,279.37
Akbar,890.93,553.6
Al-Barka,904.55,562.06
Alabat,124.02,77.06
Alabel,1054.2,655.05
Alamada,890.17,553.13
Alaminos (LA),66.45,41.29
Alaminos (PS),203.21,126.27
Alang-Alang,654.74,406.83
Albuera,573.09,356.1
Alburquerque,642.61,399.3
Alcala (CG),374.12,232.47
Alcala (PS),146.61,91.1
Alcantara (CU),578.64,359.55
Alcantara (RN),281.14,174.69
Alcoy,597.17,371.06
Alegria (CU),581.43,361.29
Alegria (SN),759.15,471.72
Aleosan,914.25,568.09
Alfonso,51.07,31.73
Alfonso Castaneda,139.24,86.52
Alfonso Lista,264.78,164.53
Aliaga,101.3,62.95
Alicia (BL),644.25,400.32
Alicia (IA),254.24,157.98
Alicia (ZS),817.61,508.04
Alilem,260.68,161.98
Alimodian,447.19,277.87
Alitagtag,79.79,49.58
Allacapan,409.99,254.76
Allen,426.92,265.28
Almagro,466.59,289.93
Almeria,495.82,308.09
Aloguinsan,559.57,347.7
Aloran,752.69,467.7
Altavas,376.19,233.75
Alubijid,769.36,478.06
Amadeo,46.07,28.63
Amai Manabilang,855.73,531.73
Ambaguio,216.01,134.22
Amlan,618.43,384.28
Ampatuan,941.93,585.29
Amulung,370.8,230.4
Anahawan,667.58,414.82
Anao,132.91,82.58
Anda (BL),666.91,414.4
Anda (PS),217.69,135.27
Angadanan,265.19,164.78
Angat,41.86,26.01
Angeles,72.78,45.22
Angono,20.33,12.63
Anilao,444.65,276.29
Anini-Y,473.43,294.18
Antequera,623.07,387.16
Antipas,929.43,577.52
Antipolo,21.07,13.09
Apalit,46.87,29.13
Aparri,425.5,264.39
Arakan,922.93,573.48
Araceli,462.04,287.1
Arayat,66.79,41.5
Argao,595.53,370.05
Aringay,212.52,132.06
Aritao,190.92,118.63
Aroroy,348.64,216.63
Arteche,546.48,339.57
Asingan,161.23,100.19
Asipulo,238.06,147.93
Asturias,536.45,333.34
Asuncion,942.44,585.61
Atimonan,120.49,74.87
Atok,228.49,141.98
Aurora (IA),275.02,170.89
Aurora (ZR),792.33,275.02
Ayungon,575.67,357.71
Baao,286.84,178.24
Babatngon,547.14,339.98
Bacacay,336.1,208.84
Bacarra,411.37,255.61
Baclayon,637.31,396
Bacnotan,246.96,153.45
Bacolod (LN),786.4,488.64
Bacolod (NO),486.17,302.09
Bacolod-Kalawi,823.68,511.81
Bacolor,57.83,35.94
Bacong,644.75,400.63
Bacungan Leon B. Postigo,747.41,464.42
Badian,586.43,364.39
Badiangan,434.74,270.13
Badoc,375.68,233.43
Bagabag,226.82,140.94
Bagac,62.73,38.98
Bagamanoc,364.19,226.3
Baganga,988.84,614.43
Bago,494.58,307.32
Baguio,207.78,129.11
Bagulin,232.47,144.45
Bagumbayan,976.63,606.85
Bais,603.87,375.22
Bakun,251.89,156.51
Balabac,855.5,531.58
Balabagan,853.86,530.56
Balamban,542.16,336.88
Balanga,48.49,30.13
Balangiga,614.67,381.94
Balangkayan,600.9,373.38
Balaoan,256.25,159.23
Balasan,415.61,258.25
Balatan,281.96,175.2
Balayan,76.35,47.44
Balbalan,322.96,200.67
Baleno,359.68,223.5
Baler,145.4,90.35
Balete (AK),371.2,230.65
Balete (BS),85.87,53.36
Baliangao,718.01,446.15
Balilihan,627.79,390.09
Balindong,820.72,509.97
Balingasag,770.17,478.56
Balingoan,749.76,465.88
Baliwag,42.11,26.17
Ballesteros,429.62,266.95
Baloi,801.18,497.83
Balud,371.2,230.65
Balungao,149.8,93.08
Bamban,88.51,55
Bambang,201.41,125.15
Banate,445.54,276.85
Banaue,259.2,161.06
Banaybanay,1009.21,627.1
Banayoyo,299.86,186.32
Banga (AK),364.31,226.37
Banga (SC),998.93,620.71
Bangar,187.94,116.78
Bangued,337.38,209.64
Bangui,440.41,273.66
Bani,212.62,132.12
Banisilan,885.27,550.08
Bansalan,982.54,610.52
Bansud,198.24,123.18
Bantay,339.61,211.03
Bantayan Island,497.59,309.19
Banton,217.65,135.24
Baras (CT),380.69,236.55
Baras (RL),32.55,20.22
Barbaza,392.55,243.92
Barcelona,392.47,243.87
Barili,567.7,352.75
Barira,872.53,542.16
Barlig,277.58,172.48
Barobo,874.38,543.32
Barotac Nuevo,450.47,279.91
Barotac Viejo,443.91,275.83
Baroy,790.48,491.18
Barugo,545.15,338.74
Basay,602.73,374.52
Basco,658.94,409.45
Basey,575.93,357.86
Basilisa,704.92,438.02
Basista,154.15,95.78
Basud (CN),222.17,138.05
Batac,388.8,241.59
Batad,421.23,261.74
Batan,377.14,234.34
Batangas,91.15,56.64
Bataraza,750.77,466.51
Bato (CS),292.77,181.92
Bato (CT),374.84,232.91
Bato (LE),568.46,353.22
Batuan (BL),636.98,395.8
Batuan (MS),388.2,241.21
Bauan,88.06,54.72
Bauang,227.29,141.23
Bauko,267.08,165.96
Baungon,801.12,497.79
Bautista,167.85,104.29
Bay,57.13,35.5
Bayabas,850.38,528.4
Bayambang,147.33,91.55
Bayang,832.85,517.51
Bayawan,613.39,381.14
Baybay,600.52,373.15
Bayog,779.16,484.15
Bayombong,213.61,132.73
Bayugan,834.06,518.26
Belison,429.79,267.06
Benito Soliven,287.26,178.49
Besao,279.72,173.81
Bien Unido,617.09,383.44
