PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,18.5500,27.8420,26.2517,35.9181,0.0000,33.9670,32.5748,30.8778,28.0670,29.7506
Abra De Ilog,17.8618,24.3363,20.5841,30.2963,0.0000,30.5180,29.9723,27.2740,22.0263,28.4940
Abucay,19.7034,41.6913,33.1697,33.1919,0.0000,41.6034,41.1872,35.1869,34.2446,34.4423
Abulug,-,-,22.3207,35.5312,0.0000,34.3654,37.7619,35.1440,23.2939,30.1443
Abuyog,29.7060,20.1493,18.5907,36.5652,0.0000,35.8552,37.3768,32.7462,29.3887,31.5175
Adams,-,-,25.8624,30.5591,0.0000,29.9943,34.9702,32.8432,25.4003,29.5893
Agno,-,-,12.7857,33.5185,0.0000,35.2162,36.7589,33.9388,29.6278,26.1280
Aguilar,-,-,21.3893,38.3018,0.0000,36.2384,37.9663,31.3949,31.7714,32.2733
Aguinaldo,-,-,-,18.9252,0.0000,32.6259,31.8854,29.5901,24.3302,25.8790
Ajuy,-,10.9085,19.2838,32.2599,0.0000,35.1009,35.3525,31.3485,28.3658,31.6630
Akbar,-,-,-,-,-,-,-,-,17.9409,16.5831
Al-Barka,-,-,-,-,-,-,-,-,7.6467,12.4148
Alabat,-,-,28.4907,35.8073,0.0000,32.5445,36.6125,32.7434,32.0132,33.5795
Alamada,34.6337,31.0017,26.3895,37.3011,0.0000,36.1786,37.0248,31.6620,28.2467,32.1843
Alaminos (LA),-,18.9973,32.2441,39.1761,0.0000,37.9267,42.8637,35.5977,36.8109,34.5807
Alaminos (PS),30.5486,36.8220,32.5932,40.9323,40.0014,36.2769,39.7142,35.1797,34.3550,36.1419
Alang-Alang,-,2.5350,12.5032,14.0164,0.0000,32.4649,34.1596,32.8473,25.3440,30.1519
Albuera,-,14.5832,27.1393,37.5709,0.0000,36.2819,37.1540,33.2476,32.4337,30.2491
Alburquerque,-,23.5750,28.3546,33.5920,0.0000,37.0681,42.6147,36.1795,33.3907,35.4536
Alcala (CG),-,-,18.7004,32.9454,0.0000,25.1161,38.3296,32.1722,27.1586,29.3517
Alcantara (CU),-,18.9337,16.3492,28.3706,0.0000,34.7488,31.6350,27.9298,25.2149,25.7256
Alcoy,-,29.0111,26.0195,26.7465,0.0000,38.2229,38.6820,34.0756,22.6342,32.1450
Alegria (CU),-,32.8298,21.4764,31.5236,0.0000,36.2245,38.4062,33.4233,31.1197,30.9739
Alegria (SN),-,25.9393,21.4586,35.1010,0.0000,35.6190,39.8544,33.3176,30.4592,32.8205
Aleosan,30.8685,32.6429,26.8161,39.1659,0.0000,39.6666,41.5335,34.0924,32.4612,30.4653
Alfonso Castaneda,-,-,19.2265,34.5310,0.0000,30.5205,30.8119,26.0727,27.7739,26.8018
Alfonso Lista,-,33.9292,28.3707,35.6172,0.0000,41.7314,41.7776,37.5985,33.5679,35.4202
Aliaga,-,-,-,28.9953,0.0000,34.9748,30.6893,27.0106,24.9968,22.2470
Alicia (BL),-,31.0099,26.8285,30.1005,0.0000,38.0774,38.7304,34.0761,28.8311,27.9483
Alicia (IA),7.8116,33.9604,17.3518,33.1129,0.0000,36.5292,36.6648,31.0128,30.1956,30.0366
Alicia (ZS),-,19.7113,18.5983,7.9967,0.0000,33.1782,33.1132,29.1994,25.8592,25.8241
Alilem,-,27.6889,19.1723,35.3287,0.0000,34.0868,34.2155,30.2202,25.9367,24.9199
Alimodian,-,18.0743,16.5186,30.7947,0.0000,39.6976,41.8217,36.2490,35.9360,34.1455
Alitagtag,-,-,27.4622,36.0711,0.0000,37.9809,38.4084,33.6611,34.0255,35.4904
Allacapan,-,27.6414,24.7182,42.6859,0.0000,41.4874,42.4039,35.5811,37.2643,35.3597
Allen,-,-,21.9611,32.9493,0.0000,34.6160,39.0650,38.8158,31.9703,38.9924
Almagro,-,-,-,27.7935,0.0000,27.7652,27.3778,23.4667,17.3042,19.4011
Almeria,-,-,22.2904,31.7630,0.0000,32.5976,40.2016,31.9307,32.7209,25.6162
Aloguinsan,-,23.7123,22.0219,24.7473,0.0000,36.5097,36.7291,27.9097,26.2772,23.0403
Aloran,-,32.6683,29.1218,32.0326,0.0000,39.2713,37.7210,32.3675,31.5778,33.9270
Altavas,-,-,-,32.1724,0.0000,35.8440,36.1079,29.9501,29.3749,27.5282
Alubijid,29.0479,32.5934,29.3262,36.6812,0.0000,37.9211,40.7283,34.5679,32.9436,32.3629
Amadeo,-,-,24.9796,33.9718,0.0000,40.2330,39.5014,34.7653,35.3384,32.9745
Amai Manabilang,-,-,-,-,-,-,-,30.1513,28.1017,12.5723
Ambaguio,-,-,15.7603,30.2520,0.0000,35.0462,36.9618,30.6027,23.5099,29.2947
Amlan,-,32.9301,25.5072,35.6699,0.0000,36.0902,35.2939,30.7651,30.3189,26.4952
Ampatuan,-,-,-,-,-,-,-,30.7133,30.8401,33.7974
Amulung,-,26.3861,21.7490,16.5431,0.0000,31.8990,26.5177,25.8018,24.0619,27.1694
Anahawan,-,-,-,24.5459,0.0000,25.8020,33.4354,27.0484,21.2979,21.6541
Anao,-,12.1166,25.0182,31.8989,0.0000,34.1907,36.6989,32.5693,31.0773,32.9269
Anda (BL),-,17.6781,23.6200,21.7837,0.0000,35.4702,35.3667,35.4698,26.6296,28.4435
Anda (PS),-,-,14.0791,25.5491,0.0000,35.5559,36.5000,31.8372,28.4041,28.0227
Angat,26.1578,25.1951,22.1270,28.0525,0.0000,24.6777,36.2924,29.8740,26.2317,32.7858
