PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,-,-,-,15.3628,0.0000,16.2320,15.9895,12.5147,10.5315,11.0596
Abra De Ilog,-,-,-,15.5449,0.0000,16.6600,16.9096,13.5154,10.4881,10.9406
Abucay,-,-,-,16.0361,0.0000,17.0879,17.1377,13.8172,11.4788,11.8282
Abulug,-,-,-,15.9547,0.0000,13.2548,15.2930,13.4775,10.0173,10.8922
Abuyog,-,-,-,16.1991,0.0000,16.7675,16.6106,12.1299,10.3719,11.3359
Adams,-,-,-,15.2335,0.0000,16.3018,17.3885,13.7342,8.7418,11.5167
Agno,-,-,-,15.0074,0.0000,16.6419,16.8532,13.4944,11.4881,11.5917
Aguilar,-,-,-,15.8284,0.0000,16.8662,16.8914,13.4072,11.4054,11.4597
Aguinaldo,-,-,-,9.2182,0.0000,15.1355,15.4892,11.8735,8.6975,9.1488
Ajuy,-,-,-,15.4299,0.0000,16.5331,15.8559,13.1533,9.6936,10.8887
Akbar,-,-,-,-,-,-,-,-,5.8954,7.0487
Al-Barka,-,-,-,-,-,-,-,-,3.4998,3.9515
Alabat,-,-,-,13.7540,0.0000,15.6881,15.9753,11.8344,11.6859,11.6004
Alamada,-,-,-,16.0482,0.0000,16.7838,16.3720,13.3997,11.4316,11.4936
Alaminos (LA),-,-,-,16.2525,0.0000,15.6974,16.0190,13.5526,11.4732,11.4187
Alaminos (PS),-,-,-,17.0742,17.0292,16.7824,17.0229,13.6454,11.5582,11.6829
Alang-Alang,-,-,-,3.6977,0.0000,16.2259,16.9226,13.2917,10.9251,11.4144
Albuera,-,-,-,15.1789,0.0000,15.5462,16.3267,13.3954,11.4561,11.4327
Alburquerque,-,-,-,15.5331,0.0000,16.6978,17.2715,13.4897,11.0312,11.4104
Alcala (CG),-,-,-,14.4116,0.0000,12.7351,16.2864,12.7366,10.8765,11.2865
Alcantara (CU),-,-,-,14.5921,0.0000,15.1267,13.9149,10.4342,10.3948,9.2625
Alcoy,-,-,-,11.2761,0.0000,16.5742,16.9220,11.6657,9.4845,9.8583
Alegria (CU),-,-,-,14.9400,0.0000,15.0473,16.2722,12.1695,10.1573,10.3594
Alegria (SN),-,-,-,16.3452,0.0000,16.8670,17.1487,12.2275,10.8652,11.4601
Aleosan,-,-,-,16.2113,0.0000,17.1924,17.2277,13.8840,11.5985,11.5760
Alfonso Castaneda,-,-,-,13.6337,0.0000,14.1010,16.3992,12.5106,11.3527,10.3109
Alfonso Lista,-,-,-,14.0287,0.0000,16.7975,17.5629,14.2393,10.6049,11.6317
Aliaga,-,-,-,14.3630,0.0000,15.4348,15.0322,12.5494,11.0412,10.8923
Alicia (BL),-,-,-,10.4809,0.0000,16.0104,16.4600,13.4190,10.3006,10.2308
Alicia (IA),-,-,-,15.6722,0.0000,15.5546,16.4934,12.7673,11.3226,10.8650
Alicia (ZS),-,-,-,0.0077,0.0000,16.5266,16.2534,11.7102,10.8194,10.5149
Alilem,-,-,-,14.9387,0.0000,15.7766,15.4479,12.7681,8.7204,11.3209
Alimodian,-,-,-,13.6631,0.0000,15.8807,15.8848,13.3528,11.4082,11.4786
Alitagtag,-,-,-,14.5830,0.0000,16.5076,16.6481,13.3318,11.3529,11.5750
Allacapan,-,-,-,16.5407,0.0000,17.3382,16.6563,12.9409,11.5794,11.5009
Allen,-,-,-,12.8566,0.0000,15.5322,15.3138,13.3519,10.9082,11.2400
Almagro,-,-,-,11.6128,0.0000,12.4583,10.8441,9.7753,9.3512,9.3075
Almeria,-,-,-,14.8947,0.0000,14.3848,16.4458,11.5875,9.7785,10.5190
Aloguinsan,-,-,-,9.4688,0.0000,16.6345,15.6856,11.9701,9.8992,9.8781
Aloran,-,-,-,11.7661,0.0000,16.0774,16.4688,13.5643,11.5023,11.5039
Altavas,-,-,-,12.1228,0.0000,16.0384,15.4157,11.5198,9.8796,10.8165
Alubijid,-,-,-,14.7930,0.0000,16.0038,16.8672,13.4685,10.4739,11.3991
Amadeo,-,-,-,13.2530,0.0000,15.8256,15.8201,12.7295,10.7635,11.2599
Amai Manabilang,-,-,-,-,-,-,-,13.2277,11.1976,3.8514
Ambaguio,-,-,-,13.7690,0.0000,15.9976,16.6147,12.4821,11.2576,11.5909
Amlan,-,-,-,15.6661,0.0000,16.9254,16.9341,13.6513,11.4473,11.3932
Ampatuan,-,-,-,-,-,-,-,13.3071,11.3408,11.3160
Amulung,-,-,-,5.8482,0.0000,16.1779,13.6992,13.3663,11.3529,11.2893
Anahawan,-,-,-,11.8746,0.0000,13.3789,14.7602,9.1439,9.6014,8.9790
Anao,-,-,-,13.1184,0.0000,16.1383,16.6332,12.1149,10.3642,11.3611
Anda (BL),-,-,-,6.3098,0.0000,15.7758,14.4431,11.5155,11.2620,10.4848
