PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,632.77,393.18,2.0353,5.4102,6.4617,4.3851,0,3.2759,3.3215,4.8368,4.0926,2.6335
Abra De Ilog,129.33,80.36,5.039,5.6067,6.9022,4.5307,0,4.0851,2.7845,3.1806,3.7084,2.597
Abucay,49.76,30.92,6.4023,10.788,8.912,4.6022,0,6.5393,6.8936,6.0729,6.5917,5.0422
Abulug,610.31,379.23,-,-,7.3423,4.1544,0,5.6378,7.3646,5.7954,5.638,6.0698
Abuyog,424.01,263.46,7.8755,3.8054,7.0146,5.5439,0,4.0354,4.2921,4.7338,4.0901,3.4195
Adams,429.31,266.76,-,-,5.3424,1.9245,0,3.1043,3.5383,3.9448,3.4522,2.0368
Agdangan,128.13,79.62,-,-,7.7009,3.9843,0,4.3183,5.443,5.5469,5.5531,4.6464
Aglipay,222.03,137.96,-,-,6.5469,3.8786,0,5.0752,6.0423,4.7942,5.308,3.5993
Agno,210.09,130.54,-,-,4.9922,4.0106,0,4.4924,7.1075,6.0222,6.7107,4.1059
Agoncillo,71.01,44.13,-,-,5.7473,6.2396,0,4.2151,4.9142,4.685,4.7406,3.2459
Agoo,204.28,126.93,4.285,9.7278,8.8916,6.5749,0,5.5954,6.9941,6.4485,5.3617,4.8302
Aguilar,163.54,101.62,-,-,7.4428,3.8572,0,4.4383,5.5184,4.4024,4.976,3.5525
Aguinaldo,269.16,167.25,-,-,-,2.5686,0,3.7476,2.9326,3.7384,3.9749,3.3283
Agutaya,381.49,237.05,-,-,-,-,0,2.7533,0.6794,5.596,4.2403,2.9016
Ajuy,449.6,279.37,-,4.4104,4.8833,4.0963,0,3.456,4.3018,4.3915,3.9018,3.098
Akbar,890.93,553.6,-,-,-,-,-,-,-,-,3.4279,2.3791
Al-Barka,904.55,562.06,-,-,-,-,-,-,-,-,2.0297,2.247
Alabat,124.02,77.06,-,-,8.3477,4.262,0,4.2878,6.0405,5.2583,4.9501,4.24
Alabel,1054.2,655.05,8.4593,6.8365,7.2698,5.0242,0,4.2653,4.0351,4.8833,4.7137,4.3164
Alamada,890.17,553.13,9.1905,6.8269,6.7432,3.8986,0,2.9479,4.3551,3.2825,3.9497,2.9683
Alaminos (LA),66.45,41.29,-,10.0718,10.3146,5.3181,0,6.0297,6.7057,6.1641,6.0076,5.129
Alaminos (PS),203.21,126.27,8.6477,7.8994,9.1956,5.0128,4.6011,3.8475,5.626,4.6339,3.763,3.157
Alang-Alang,654.74,406.83,-,0.4867,5.3197,3.7254,0,3.3767,3.5023,4.8161,3.8172,2.9016
Albuera,573.09,356.1,-,2.1026,8.0832,4.6737,0,5.1912,5.459,6.1235,5.4258,4.5213
Alburquerque,642.61,399.3,-,7.292,7.4091,3.2947,0,3.9118,7.9645,6.5373,4.2727,3.2142
