PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,632.77,393.18,9.0672,15.1771,12.2955,10.5191,0,9.2703,7.7558,8.3503,7.0608,8.4853
Abra De Ilog,129.33,80.36,8.9574,12.1088,6.8074,5.0863,0,5.0153,5.1095,5.9111,3.9974,8.9145
Abucay,49.76,30.92,9.6964,18.116,12.7248,4.7923,0,11.5857,10.8242,9.2626,8.389,8.4619
Abulug,610.31,379.23,-,-,7.2348,9.1858,0,10.3894,8.55,9.2764,3.6888,6.287
Abuyog,424.01,263.46,13.5972,8.8516,4.1172,7.9061,0,10.605,10.4497,9.8379,7.9118,9.6887
Adams,429.31,266.76,-,-,12.3263,8.3799,0,6.7811,9.7998,9.1817,7.2258,8.7174
Agdangan,128.13,79.62,-,-,11.7939,11.5272,0,10.6419,11.0321,9.9728,7.0739,7.3486
Aglipay,222.03,137.96,-,-,8.8775,11.1779,0,11.0188,10.7846,9.0161,8.3488,8.2502
Agno,210.09,130.54,-,-,3.2744,9.062,0,8.306,7.8686,9.6247,7.8364,6.9039
Agoncillo,71.01,44.13,-,-,7.6197,8.0357,0,9.6434,8.6514,6.9304,8.1888,8.2051
Agoo,204.28,126.93,18.6664,20.238,13.7256,11.478,0,11.1018,11.4856,11.3248,7.6957,10.7969
Aguilar,163.54,101.62,-,-,6.193,12.5224,0,9.6281,10.7684,9.2074,8.3229,8.4656
Aguinaldo,269.16,167.25,-,-,-,2.9326,0,8.8804,9.1596,9.0151,7.4668,8.7745
Agutaya,381.49,237.05,-,-,-,-,0,0.1284,6.8899,7.5919,4.2637,4.9423
Ajuy,449.6,279.37,-,2.9997,7.833,7.5123,0,10.1753,10.2062,9.6379,7.8216,8.4462
Akbar,890.93,553.6,-,-,-,-,-,-,-,-,4.871,3.059
Al-Barka,904.55,562.06,-,-,-,-,-,-,-,-,2,2.6758
Alabat,124.02,77.06,-,-,11.7383,11.495,0,7.3431,8.2474,9.9427,8.0465,8.2851
Alabel,1054.2,655.05,16.2757,15.6727,10.9378,11.7434,0,11.7106,11.524,10.432,8.2651,11.8321
Alamada,890.17,553.13,16.9229,16.559,12.1422,11.5912,0,10.7329,10.9094,9.5933,7.3329,9.3846
Alaminos (LA),66.45,41.29,-,6.8303,10.5903,9.7229,0,10.9726,13.4281,9.1235,9.1528,7.237
Alaminos (PS),203.21,126.27,15.4803,18.3612,13.2543,11.2336,10.2461,8.887,10.2622,9.513,9.5677,9.6152
Alang-Alang,654.74,406.83,-,1.869,7.0775,3.8165,0,8.6125,8.7528,10.0128,6.2913,9.6129
Albuera,573.09,356.1,-,3.3867,8.2918,11.1691,0,10.2342,9.4236,8.5178,8.3611,7.8867
Alburquerque,642.61,399.3,-,8.8156,11.7273,8.9762,0,10.9834,10.7819,10.3206,8.3773,8.8931
Alcala (CG),374.12,232.47,-,-,6.1796,9.7593,0,7.1903,10.4155,8.4096,6.4991,6.763
Alcala (PS),146.61,91.1,-,-,4.0067,9.2073,0,11.5972,11.6035,9.6557,7.0729,7.6115
Alcantara (CU),578.64,359.55,-,4.842,3.6731,6.2744,0,10.5215,7.8627,6.1767,5.4327,3.1055
Alcantara (RN),281.14,174.69,3.6422,7.9144,4.231,5.1849,0,0.1556,7.0204,9.5675,6.4337,8.8337
Alcoy,597.17,371.06,-,12.385,9.6233,5.8824,0,12.1409,9.7032,9.7669,4.099,9.2446
Alegria (CU),581.43,361.29,-,16.8237,4.9122,7.7391,0,11.3788,10.9676,10.1814,8.9386,7.663
Alegria (SN),759.15,471.72,-,13.6548,8.5124,9.2268,0,8.5033,10.8765,8.3984,7.2561,8.6318
Aleosan,914.25,568.09,16.4353,17.0323,11.0602,12.716,0,12.5809,12.439,9.8952,8.8009,8.3395
Alfonso,51.07,31.73,13.4196,13.6013,5.8272,10.864,0,8.8373,9.4637,8.4003,6.9923,9.8682
Alfonso Castaneda,139.24,86.52,-,-,5.0327,9.5436,0,8.3372,6.3159,6.0159,7.576,7.3168
Alfonso Lista,264.78,164.53,-,14.0637,8.9302,10.271,0,11.2534,10.5955,10.7821,9.6638,8.7557
Aliaga,101.3,62.95,-,-,-,5.4608,0,9.5863,7.0061,6.0344,6.4513,5.8646
Alicia (BL),644.25,400.32,-,14.2997,9.3267,9.2177,0,12.5078,11.1953,9.9335,7.3887,8.107
Alicia (IA),254.24,157.98,2.4667,17.7705,5.7604,7.5312,0,10.8411,10.6758,9.7122,7.9865,9.5203
Alicia (ZS),817.61,508.04,-,13.301,6.74,2.6101,0,9.7024,7.557,9.2725,6.3466,6.9329
Alilem,260.68,161.98,-,13.9751,6.907,11.29,0,9.6869,10.1164,9.502,8.0348,7.0507
Alimodian,447.19,277.87,-,3.425,2.3886,6.6926,0,12.9361,12.9209,11.3743,9.3394,8.2942
Alitagtag,79.79,49.58,-,-,10.7122,10.6042,0,10.9186,10.6205,9.7651,9.7267,8.3791
Allacapan,409.99,254.76,-,10.4458,7.7461,12.1752,0,12.1934,11.3196,10.3518,9.3135,8.407
Allen,426.92,265.28,-,-,6.5849,8.7887,0,9.1489,9.2077,12.7159,6.4437,8.6531
Almagro,466.59,289.93,-,-,-,7.3116,0,8.0482,7.538,7.83,3.6775,3.2505
Almeria,495.82,308.09,-,-,8.519,7.4038,0,9.3459,10.8795,8.1163,8.1975,4.0657
