PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,632.77,393.18,7.4474,7.2547,7.4945,5.6511,0,5.1888,5.5081,5.176,2.2028,2.3571
Abra De Ilog,129.33,80.36,3.8654,6.6208,6.8745,5.1345,0,4.7576,5.1687,4.6669,1.822,2.3202
Abucay,49.76,30.92,3.6047,12.7873,11.5329,7.7613,0,6.3905,6.3317,6.0342,3.3598,3.6944
Abulug,610.31,379.23,-,-,7.7436,6.2363,0,5.0835,6.5544,6.5946,3.1454,4.2932
Abuyog,424.01,263.46,8.2333,7.4922,7.4589,6.9162,0,4.4473,6.0245,6.0446,2.578,4.05
Adams,429.31,266.76,-,-,8.1937,5.0212,0,3.8071,4.2437,5.9825,2.2027,3.8215
Agdangan,128.13,79.62,-,-,6.7317,6.0761,0,4.5865,4.9769,4.0778,2.8173,4.3798
Aglipay,222.03,137.96,-,-,6.0004,4.8243,0,5.4939,5.7373,5.5658,2.9867,2.7813
Agno,210.09,130.54,-,-,4.519,5.4385,0,5.7759,4.9296,4.7975,2.7694,2.3886
Agoncillo,71.01,44.13,-,-,5.0989,4.0005,0,3.2529,3.3369,3.2959,1.4113,2.7663
Agoo,204.28,126.93,5.5102,7.4811,9.7108,7.5467,0,6.2759,6.4792,6.4889,2.9737,3.5116
Aguilar,163.54,101.62,-,-,7.7534,6.0938,0,5.3058,4.7881,4.378,3.4465,3.192
Aguinaldo,269.16,167.25,-,-,-,4.2058,0,4.8624,4.304,4.9631,1.4712,1.8598
Agutaya,381.49,237.05,-,-,-,-,0,0.0044,0.7497,2.1284,2.3633,2.4968
Ajuy,449.6,279.37,-,3.4984,6.5675,5.2214,0,4.9366,4.9886,4.1657,1.9097,2.2012
Akbar,890.93,553.6,-,-,-,-,-,-,-,-,1.4132,2.4292
Al-Barka,904.55,562.06,-,-,-,-,-,-,-,-,0.1172,2.2071
Alabat,124.02,77.06,-,-,8.4048,6.2963,0,5.2254,6.3492,5.708,3.4546,4.4077
Alabel,1054.2,655.05,9.2257,9.5166,8.4579,6.509,0,6.4086,6.6395,6.9329,3.1792,3.5727
Alamada,890.17,553.13,8.5202,7.6158,7.5041,5.7632,0,5.714,5.3882,5.3865,2.122,2.2908
Alaminos (LA),66.45,41.29,-,2.0952,11.3392,7.8826,0,5.227,6.7109,6.7574,3.8302,3.7536
Alaminos (PS),203.21,126.27,6.4206,10.5614,10.1433,7.6118,8.125,6.76,6.8031,7.3873,4.6501,4.209
Alang-Alang,654.74,406.83,-,0.1793,0.106,2.7767,0,4.2499,4.9819,4.7267,0.9532,2.3378
Albuera,573.09,356.1,-,9.0939,10.7643,6.5491,0,5.3103,5.9448,5.2109,2.7486,2.857
Alburquerque,642.61,399.3,-,7.4674,9.2182,5.7879,0,5.4751,6.5968,5.8318,3.2616,4.4986
Alcala (CG),374.12,232.47,-,-,6.4665,5.444,0,3.4496,5.4207,5.6829,3.1021,3.0227
Alcala (PS),146.61,91.1,-,-,7.5174,6.4944,0,5.5814,5.6313,5.4254,4.796,3.4377
Alcantara (CU),578.64,359.55,-,7.3534,6.7674,4.755,0,5.166,5.1378,5.6907,2.4743,3.7448
