PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,632.77,393.18,-,-,-,-,-,-,-,-,4.1793,5.2151
Abra De Ilog,129.33,80.36,-,-,-,-,-,-,-,-,2.0104,3.7217
Abucay,49.76,30.92,-,-,-,-,-,-,-,-,4.4253,5.4156
Abulug,610.31,379.23,-,-,-,-,-,-,-,-,0.8044,2.6021
Abuyog,424.01,263.46,-,-,-,-,-,-,-,-,4.4369,3.0234
Adams,429.31,266.76,-,-,-,-,-,-,-,-,3.7778,3.4969
Agdangan,128.13,79.62,-,-,-,-,-,-,-,-,4.6422,5.5426
Aglipay,222.03,137.96,-,-,-,-,-,-,-,-,3.6645,2.8358
Agno,210.09,130.54,-,-,-,-,-,-,-,-,0.8232,1.1379
Agoncillo,71.01,44.13,-,-,-,-,-,-,-,-,3.9115,7.272
Agoo,204.28,126.93,-,-,-,-,-,-,-,-,3.0532,6.9848
Aguilar,163.54,101.62,-,-,-,-,-,-,-,-,3.6206,5.6035
Aguinaldo,269.16,167.25,-,-,-,-,-,-,-,-,2.7198,2.7676
Agutaya,381.49,237.05,-,-,-,-,-,-,-,-,1.3867,1.5097
Ajuy,449.6,279.37,-,-,-,-,-,-,-,-,5.0391,7.0289
Akbar,890.93,553.6,-,-,-,-,-,-,-,-,2.3334,1.6671
Al-Barka,904.55,562.06,-,-,-,-,-,-,-,-,0,1.3334
Alabat,124.02,77.06,-,-,-,-,-,-,-,-,3.8761,5.0463
Alabel,1054.2,655.05,-,-,-,-,-,-,-,-,5.3751,5.8045
Alamada,890.17,553.13,-,-,-,-,-,-,-,-,3.4105,6.047
Alaminos (LA),66.45,41.29,-,-,-,-,-,-,-,-,6.3471,7.0424
Alaminos (PS),203.21,126.27,-,-,-,-,-,-,-,-,4.816,7.4778
Alang-Alang,654.74,406.83,-,-,-,-,-,-,-,-,3.3572,3.8852
Albuera,573.09,356.1,-,-,-,-,-,-,-,-,4.4421,3.5514
Alburquerque,642.61,399.3,-,-,-,-,-,-,-,-,6.4479,7.4373
Alcala (CG),374.12,232.47,-,-,-,-,-,-,-,-,1.2354,4.4906
Alcala (PS),146.61,91.1,-,-,-,-,-,-,-,-,1.8715,1.9136
Alcantara (CU),578.64,359.55,-,-,-,-,-,-,-,-,2.7267,4.9501
Alcantara (RN),281.14,174.69,-,-,-,-,-,-,-,-,3.7622,4.0166
Alcoy,597.17,371.06,-,-,-,-,-,-,-,-,1.7388,3.8007
Alegria (CU),581.43,361.29,-,-,-,-,-,-,-,-,4.4204,6.5123
Alegria (SN),759.15,471.72,-,-,-,-,-,-,-,-,5.0191,5.3504
Aleosan,914.25,568.09,-,-,-,-,-,-,-,-,3.6818,3.7402
Alfonso,51.07,31.73,-,-,-,-,-,-,-,-,5.2346,9.2823
Alfonso Castaneda,139.24,86.52,-,-,-,-,-,-,-,-,3.3382,4.4489
Alfonso Lista,264.78,164.53,-,-,-,-,-,-,-,-,3.925,5.187
Aliaga,101.3,62.95,-,-,-,-,-,-,-,-,1.9397,0.6967
Alicia (BL),644.25,400.32,-,-,-,-,-,-,-,-,3.7319,2.7319
Alicia (IA),254.24,157.98,-,-,-,-,-,-,-,-,4.4547,3.8151
Alicia (ZS),817.61,508.04,-,-,-,-,-,-,-,-,2.3781,3.7108
Alilem,260.68,161.98,-,-,-,-,-,-,-,-,2.0435,1.4382
Alimodian,447.19,277.87,-,-,-,-,-,-,-,-,7.4124,7.2682
Alitagtag,79.79,49.58,-,-,-,-,-,-,-,-,4.4944,8.0136
Allacapan,409.99,254.76,-,-,-,-,-,-,-,-,6.6112,6.9556
Allen,426.92,265.28,-,-,-,-,-,-,-,-,5.2274,7.2387
Almagro,466.59,289.93,-,-,-,-,-,-,-,-,0.6867,0.8334
Almeria,495.82,308.09,-,-,-,-,-,-,-,-,6.392,2.85
Aloguinsan,559.57,347.7,-,-,-,-,-,-,-,-,3.7787,3.7983
Aloran,752.69,467.7,-,-,-,-,-,-,-,-,4.5551,7.4348
Altavas,376.19,233.75,-,-,-,-,-,-,-,-,4.4509,3.6153
Alubijid,769.36,478.06,-,-,-,-,-,-,-,-,5.2257,5.4252
Amadeo,46.07,28.63,-,-,-,-,-,-,-,-,5.0402,3.3764
Amai Manabilang,855.73,531.73,-,-,-,-,-,-,-,-,3.1486,2.5064
Ambaguio,216.01,134.22,-,-,-,-,-,-,-,-,1.7067,4.3546
Amlan,618.43,384.28,-,-,-,-,-,-,-,-,3.7319,3.857
Ampatuan,941.93,585.29,-,-,-,-,-,-,-,-,3.8123,7.1088
Amulung,370.8,230.4,-,-,-,-,-,-,-,-,2.6937,2.9917
Anahawan,667.58,414.82,-,-,-,-,-,-,-,-,1.7622,3.0834
Anao,132.91,82.58,-,-,-,-,-,-,-,-,5.4462,5.371
Anda (BL),666.91,414.4,-,-,-,-,-,-,-,-,3.1223,3.9404
Anda (PS),217.69,135.27,-,-,-,-,-,-,-,-,1.4942,1.7158
Angadanan,265.19,164.78,-,-,-,-,-,-,-,-,1.7525,3.6639
Angat,41.86,26.01,-,-,-,-,-,-,-,-,2.0177,6.9845
Angeles,72.78,45.22,-,-,-,-,-,-,-,-,7.3254,7.5084
Angono,20.33,12.63,-,-,-,-,-,-,-,-,7.3279,7.9219
Anilao,444.65,276.29,-,-,-,-,-,-,-,-,6.3986,5.4204
Anini-Y,473.43,294.18,-,-,-,-,-,-,-,-,3.8189,3.1522
Antequera,623.07,387.16,-,-,-,-,-,-,-,-,2.0435,1.3769
Antipas,929.43,577.52,-,-,-,-,-,-,-,-,5.8668,5.2172
Antipolo,21.07,13.09,-,-,-,-,-,-,-,-,8.6517,9.2828
Apalit,46.87,29.13,-,-,-,-,-,-,-,-,3.5508,4.2782
Aparri,425.5,264.39,-,-,-,-,-,-,-,-,3.8192,3.8881
Araceli,922.93,573.48,-,-,-,-,-,-,-,-,0.0435,1.7102
Arakan,462.04,287.1,-,-,-,-,-,-,-,-,2.1751,2.7398
Arayat,66.79,41.5,-,-,-,-,-,-,-,-,4.0892,4.2659
Argao,595.53,370.05,-,-,-,-,-,-,-,-,9.4303,9.2821
Aringay,212.52,132.06,-,-,-,-,-,-,-,-,2.4012,5.2091
Aritao,190.92,118.63,-,-,-,-,-,-,-,-,2.7098,3.5936
Aroroy,348.64,216.63,-,-,-,-,-,-,-,-,2.6774,3.6984
Arteche,546.48,339.57,-,-,-,-,-,-,-,-,4.3842,4.3849
Asingan,161.23,100.19,-,-,-,-,-,-,-,-,4.5914,4.6927
Asipulo,238.06,147.93,-,-,-,-,-,-,-,-,4.3742,6.5542
Asturias,536.45,333.34,-,-,-,-,-,-,-,-,1.104,4.5083
Asuncion,942.44,585.61,-,-,-,-,-,-,-,-,3.3477,3.3534
Atimonan,120.49,74.87,-,-,-,-,-,-,-,-,4.469,8.3315
Atok,228.49,141.98,-,-,-,-,-,-,-,-,2.3986,0.7844
Aurora (IA),275.02,170.89,-,-,-,-,-,-,-,-,2.8701,3.6079
Aurora (ZR),792.33,275.02,-,-,-,-,-,-,-,-,3.3369,4.3932
Ayungon,575.67,357.71,-,-,-,-,-,-,-,-,2.4017,2.5902
Baao,286.84,178.24,-,-,-,-,-,-,-,-,1.7695,2.4234
Babatngon,547.14,339.98,-,-,-,-,-,-,-,-,1.0919,2.7336
Bacacay,336.1,208.84,-,-,-,-,-,-,-,-,2.7081,3.4529
Bacarra,411.37,255.61,-,-,-,-,-,-,-,-,4.5929,5.8189
Baclayon,637.31,396,-,-,-,-,-,-,-,-,4.4962,1.5299
Bacnotan,246.96,153.45,-,-,-,-,-,-,-,-,5.3521,8.2147
Bacolod (LN),786.4,488.64,-,-,-,-,-,-,-,-,3.9815,7.9182
Bacolod (NO),486.17,302.09,-,-,-,-,-,-,-,-,10.3659,9.0108
Bacolod-Kalawi,823.68,511.81,-,-,-,-,-,-,-,-,2.3551,5.7385
Bacolor,57.83,35.94,-,-,-,-,-,-,-,-,5.058,6.1784
Bacong,644.75,400.63,-,-,-,-,-,-,-,-,0.8241,0.286
Bacungan Leon B. Postigo,747.41,464.42,-,-,-,-,-,-,-,-,2.0435,4.8639
Badian,586.43,364.39,-,-,-,-,-,-,-,-,1.7319,1.7875
Badiangan,434.74,270.13,-,-,-,-,-,-,-,-,6.3969,6.5446
Badoc,375.68,233.43,-,-,-,-,-,-,-,-,4.4885,4.7393
Bagabag,226.82,140.94,-,-,-,-,-,-,-,-,2.7985,2.0168
Bagac,62.73,38.98,-,-,-,-,-,-,-,-,3.6167,2.7567
Bagamanoc,364.19,226.3,-,-,-,-,-,-,-,-,0.0333,1.9611
Baganga,988.84,614.43,-,-,-,-,-,-,-,-,4.0666,5.2298
Bago,494.58,307.32,-,-,-,-,-,-,-,-,5.3841,5.1001
Baguio,207.78,129.11,-,-,-,-,-,-,-,-,7.654,8.4646
Bagulin,232.47,144.45,-,-,-,-,-,-,-,-,2.4336,4.1305
Bagumbayan,976.63,606.85,-,-,-,-,-,-,-,-,3.613,4.1518
Bais,603.87,375.22,-,-,-,-,-,-,-,-,2.0373,4.1732
Bakun,251.89,156.51,-,-,-,-,-,-,-,-,0.7102,2.0436
Balabac,855.5,531.58,-,-,-,-,-,-,-,-,0.677,1.6768
Balabagan,853.86,530.56,-,-,-,-,-,-,-,-,4.5658,4.5439
Balamban,542.16,336.88,-,-,-,-,-,-,-,-,4.4397,7.0297
Balanga,48.49,30.13,-,-,-,-,-,-,-,-,8.1819,8.5502
Balangiga,614.67,381.94,-,-,-,-,-,-,-,-,2.0543,2.0501
Balangkayan,600.9,373.38,-,-,-,-,-,-,-,-,3.3734,3.5706
Balaoan,256.25,159.23,-,-,-,-,-,-,-,-,4.381,4.5788
Balasan,415.61,258.25,-,-,-,-,-,-,-,-,4.105,5.2363
Balatan,281.96,175.2,-,-,-,-,-,-,-,-,3.0001,2.2078
Balayan,76.35,47.44,-,-,-,-,-,-,-,-,4.3015,7.9219
Balbalan,322.96,200.67,-,-,-,-,-,-,-,-,0.7102,1.5022
Baleno,359.68,223.5,-,-,-,-,-,-,-,-,3.0871,2.4204
Baler,145.4,90.35,-,-,-,-,-,-,-,-,7.0294,7.3033
Balete (AK),371.2,230.65,-,-,-,-,-,-,-,-,3.4055,4.4427
Balete (BS),85.87,53.36,-,-,-,-,-,-,-,-,3.7667,6.258
Baliangao,718.01,446.15,-,-,-,-,-,-,-,-,1.7467,1.9167
Balilihan,627.79,390.09,-,-,-,-,-,-,-,-,1.8183,4.2215
Balindong,820.72,509.97,-,-,-,-,-,-,-,-,3.712,4.0511
Balingasag,770.17,478.56,-,-,-,-,-,-,-,-,4.0698,6.3191
Balingoan,749.76,465.88,-,-,-,-,-,-,-,-,3.4134,2.8344
Baliwag,42.11,26.17,-,-,-,-,-,-,-,-,7.6941,9.4665
Ballesteros,429.62,266.95,-,-,-,-,-,-,-,-,1.1388,4.1518
Baloi,801.18,497.83,-,-,-,-,-,-,-,-,0.7319,4.5213
Balud,371.2,230.65,-,-,-,-,-,-,-,-,0,1.0954
Balungao,149.8,93.08,-,-,-,-,-,-,-,-,4.595,4.664
Bamban,88.51,55,-,-,-,-,-,-,-,-,3.0222,5.0681
Bambang,201.41,125.15,-,-,-,-,-,-,-,-,4.9269,3.0999
Banate,445.54,276.85,-,-,-,-,-,-,-,-,4.5851,3.641
Banaue,259.2,161.06,-,-,-,-,-,-,-,-,2.6307,3.8424
Banaybanay,1009.21,627.1,-,-,-,-,-,-,-,-,4.4306,5.1851
Banayoyo,299.86,186.32,-,-,-,-,-,-,-,-,2.4349,4.5306
Banga (AK),364.31,226.37,-,-,-,-,-,-,-,-,1.8339,2.325
Banga (SC),998.93,620.71,-,-,-,-,-,-,-,-,3.7556,3.7506
Bangar,187.94,116.78,-,-,-,-,-,-,-,-,4.7508,4.7204
Bangued,337.38,209.64,-,-,-,-,-,-,-,-,3.9048,3.7753
Bangui,440.41,273.66,-,-,-,-,-,-,-,-,3.8421,4.9426
Bani,212.62,132.12,-,-,-,-,-,-,-,-,7.8188,5.5914
Banisilan,885.27,550.08,-,-,-,-,-,-,-,-,2.7713,4.3011
Bansalan,982.54,610.52,-,-,-,-,-,-,-,-,7.2818,8.4464
Bansud,198.24,123.18,-,-,-,-,-,-,-,-,4.3724,4.4452
Bantay,339.61,211.03,-,-,-,-,-,-,-,-,5.2844,6.0463
Bantayan Island,497.59,309.19,-,-,-,-,-,-,-,-,2.6994,2.7602
Banton,217.65,135.24,-,-,-,-,-,-,-,-,3.7067,4.1668
Baras (CT),380.69,236.55,-,-,-,-,-,-,-,-,1.09,2.0444
Baras (RL),32.55,20.22,-,-,-,-,-,-,-,-,6.8107,7.5582
Barbaza,392.55,243.92,-,-,-,-,-,-,-,-,5.7329,3.2397
Barcelona,392.47,243.87,-,-,-,-,-,-,-,-,5.9124,5.1986
Barili,567.7,352.75,-,-,-,-,-,-,-,-,3.7303,4.4278
Barira,872.53,542.16,-,-,-,-,-,-,-,-,0.7102,1.5537
Barlig,277.58,172.48,-,-,-,-,-,-,-,-,3.7198,1.5014
Barobo,874.38,543.32,-,-,-,-,-,-,-,-,1.8195,1.034
Barotac Nuevo,450.47,279.91,-,-,-,-,-,-,-,-,2.7093,4.3118
Barotac Viejo,443.91,275.83,-,-,-,-,-,-,-,-,3.8402,3.1582
Baroy,790.48,491.18,-,-,-,-,-,-,-,-,3.7532,2.7542
Barugo,545.15,338.74,-,-,-,-,-,-,-,-,6.0283,4.9862
Basay,602.73,374.52,-,-,-,-,-,-,-,-,4.7102,5.4897
Basco,658.94,409.45,-,-,-,-,-,-,-,-,1.2619,4.581
Basey,575.93,357.86,-,-,-,-,-,-,-,-,6.4185,4.0422
Basilisa,704.92,438.02,-,-,-,-,-,-,-,-,3.7105,2.7747
Basista,154.15,95.78,-,-,-,-,-,-,-,-,1.486,4.6991
Basud (CN),222.17,138.05,-,-,-,-,-,-,-,-,3.428,1.7217
Batac,388.8,241.59,-,-,-,-,-,-,-,-,5.5437,9.2875
Batad,421.23,261.74,-,-,-,-,-,-,-,-,4.2008,5.3223
Batan,377.14,234.34,-,-,-,-,-,-,-,-,1.7832,0.8209
Batangas,91.15,56.64,-,-,-,-,-,-,-,-,8.4102,8.5327
Bataraza,750.77,466.51,-,-,-,-,-,-,-,-,3.0286,5.7467
Bato (CS),292.77,181.92,-,-,-,-,-,-,-,-,1.2739,3.768
Bato (CT),374.84,232.91,-,-,-,-,-,-,-,-,3.4897,4.3226
Bato (LE),568.46,353.22,-,-,-,-,-,-,-,-,2.7754,3.8091
Batuan (BL),636.98,395.8,-,-,-,-,-,-,-,-,2.354,4.5831
Batuan (MS),388.2,241.21,-,-,-,-,-,-,-,-,1.7187,1.1753
Bauan,88.06,54.72,-,-,-,-,-,-,-,-,4.5793,6.9546
Bauang,227.29,141.23,-,-,-,-,-,-,-,-,5.1713,7.5415
Bauko,267.08,165.96,-,-,-,-,-,-,-,-,2.8353,3.2437
Baungon,801.12,497.79,-,-,-,-,-,-,-,-,1.7295,3.0639
Bautista,167.85,104.29,-,-,-,-,-,-,-,-,3.5291,3.9767
Bay,57.13,35.5,-,-,-,-,-,-,-,-,7.1603,7.1811
Bayabas,850.38,528.4,-,-,-,-,-,-,-,-,0.7348,2.936
Bayambang,147.33,91.55,-,-,-,-,-,-,-,-,5.435,7.7462
Bayang,832.85,517.51,-,-,-,-,-,-,-,-,2.3923,1.4464
Bayawan,613.39,381.14,-,-,-,-,-,-,-,-,5.1554,7.8814
Baybay,600.52,373.15,-,-,-,-,-,-,-,-,4.6039,4.4793
Bayog,779.16,484.15,-,-,-,-,-,-,-,-,5.0443,8.104
Bayombong,213.61,132.73,-,-,-,-,-,-,-,-,4.7443,6.0981
Bayugan,834.06,518.26,-,-,-,-,-,-,-,-,4.3958,3.9604
Belison,429.79,267.06,-,-,-,-,-,-,-,-,6.426,7.8037
Benito Soliven,287.26,178.49,-,-,-,-,-,-,-,-,2.7706,3.4652
Besao,279.72,173.81,-,-,-,-,-,-,-,-,3.7457,3.8361
Bien Unido,617.09,383.44,-,-,-,-,-,-,-,-,1.4207,4.1328
Bilar,641.64,398.7,-,-,-,-,-,-,-,-,5.3568,1.0527
Biliran,513.55,319.11,-,-,-,-,-,-,-,-,8.6235,4.4851
Binalbagan,529.03,328.73,-,-,-,-,-,-,-,-,4.5156,2.5734
