PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,632.77,393.18,18.55,27.842,26.2517,35.9181,0,33.967,32.5748,30.8778,28.067,29.7506
Abra De Ilog,129.33,80.36,17.8618,24.3363,20.5841,30.2963,0,30.518,29.9723,27.274,22.0263,28.494
Abucay,49.76,30.92,19.7034,41.6913,33.1697,33.1919,0,41.6034,41.1872,35.1869,34.2446,34.4423
Abulug,610.31,379.23,-,-,22.3207,35.5312,0,34.3654,37.7619,35.144,23.2939,30.1443
Abuyog,424.01,263.46,29.706,20.1493,18.5907,36.5652,0,35.8552,37.3768,32.7462,29.3887,31.5175
Adams,429.31,266.76,-,-,25.8624,30.5591,0,29.9943,34.9702,32.8432,25.4003,29.5893
Agdangan,128.13,79.62,-,-,26.2265,37.058,0,35.3762,37.6032,32.4513,31.6595,33.3311
Aglipay,222.03,137.96,-,-,21.4248,36.0422,0,37.1832,39.5494,32.8828,31.6957,28.6648
Agno,210.09,130.54,-,-,12.7857,33.5185,0,35.2162,36.7589,33.9388,29.6278,26.128
Agoncillo,71.01,44.13,-,-,18.4659,31.7837,0,34.0052,33.8272,27.118,28.1522,32.3441
Agoo,204.28,126.93,28.4616,37.4469,32.328,41.9723,0,40.3149,42.8922,39.4043,31.6744,39.9495
Aguilar,163.54,101.62,-,-,21.3893,38.3018,0,36.2384,37.9663,31.3949,31.7714,32.2733
Aguinaldo,269.16,167.25,-,-,-,18.9252,0,32.6259,31.8854,29.5901,24.3302,25.879
Agutaya,381.49,237.05,-,-,-,-,0,2.8862,19.7179,25.8546,23.2918,22.6547
Ajuy,449.6,279.37,-,10.9085,19.2838,32.2599,0,35.1009,35.3525,31.3485,28.3658,31.663
Akbar,890.93,553.6,-,-,-,-,-,-,-,-,17.9409,16.5831
Al-Barka,904.55,562.06,-,-,-,-,-,-,-,-,7.6467,12.4148
Alabat,124.02,77.06,-,-,28.4907,35.8073,0,32.5445,36.6125,32.7434,32.0132,33.5795
Alabel,1054.2,655.05,33.9607,32.0257,26.6655,39.6494,0,39.8296,40.2154,36.6023,33.789,37.8278
Alamada,890.17,553.13,34.6337,31.0017,26.3895,37.3011,0,36.1786,37.0248,31.662,28.2467,32.1843
Alaminos (LA),66.45,41.29,-,18.9973,32.2441,39.1761,0,37.9267,42.8637,35.5977,36.8109,34.5807
Alaminos (PS),203.21,126.27,30.5486,36.822,32.5932,40.9323,40.0014,36.2769,39.7142,35.1797,34.355,36.1419
Alang-Alang,654.74,406.83,-,2.535,12.5032,14.0164,0,32.4649,34.1596,32.8473,25.344,30.1519
Albuera,573.09,356.1,-,14.5832,27.1393,37.5709,0,36.2819,37.154,33.2476,32.4337,30.2491
Alburquerque,642.61,399.3,-,23.575,28.3546,33.592,0,37.0681,42.6147,36.1795,33.3907,35.4536
Alcala (CG),374.12,232.47,-,-,18.7004,32.9454,0,25.1161,38.3296,32.1722,27.1586,29.3517
Alcala (PS),146.61,91.1,-,-,17.6882,31.3546,0,38.6441,40.0718,34.085,30.4896,28.4743
Alcantara (CU),578.64,359.55,-,18.9337,16.3492,28.3706,0,34.7488,31.635,27.9298,25.2149,25.7256
Alcantara (RN),281.14,174.69,11.5301,21.9642,18.5687,27.7231,0,3.0103,29.3568,33.2742,26.1469,31.6508
Alcoy,597.17,371.06,-,29.0111,26.0195,26.7465,0,38.2229,38.682,34.0756,22.6342,32.145
Alegria (CU),581.43,361.29,-,32.8298,21.4764,31.5236,0,36.2245,38.4062,33.4233,31.1197,30.9739
Alegria (SN),759.15,471.72,-,25.9393,21.4586,35.101,0,35.619,39.8544,33.3176,30.4592,32.8205
Aleosan,914.25,568.09,30.8685,32.6429,26.8161,39.1659,0,39.6666,41.5335,34.0924,32.4612,30.4653
Alfonso,51.07,31.73,28.5008,27.9453,20.9066,37.1215,0,34.4552,32.892,32.078,30.3825,37.8125
Alfonso Castaneda,139.24,86.52,-,-,19.2265,34.531,0,30.5205,30.8119,26.0727,27.7739,26.8018
Alfonso Lista,264.78,164.53,-,33.9292,28.3707,35.6172,0,41.7314,41.7776,37.5985,33.5679,35.4202
Aliaga,101.3,62.95,-,-,-,28.9953,0,34.9748,30.6893,27.0106,24.9968,22.247
Alicia (BL),644.25,400.32,-,31.0099,26.8285,30.1005,0,38.0774,38.7304,34.0761,28.8311,27.9483
Alicia (IA),254.24,157.98,7.8116,33.9604,17.3518,33.1129,0,36.5292,36.6648,31.0128,30.1956,30.0366
Alicia (ZS),817.61,508.04,-,19.7113,18.5983,7.9967,0,33.1782,33.1132,29.1994,25.8592,25.8241
Alilem,260.68,161.98,-,27.6889,19.1723,35.3287,0,34.0868,34.2155,30.2202,25.9367,24.9199
Alimodian,447.19,277.87,-,18.0743,16.5186,30.7947,0,39.6976,41.8217,36.249,35.936,34.1455
Alitagtag,79.79,49.58,-,-,27.4622,36.0711,0,37.9809,38.4084,33.6611,34.0255,35.4904
Allacapan,409.99,254.76,-,27.6414,24.7182,42.6859,0,41.4874,42.4039,35.5811,37.2643,35.3597
Allen,426.92,265.28,-,-,21.9611,32.9493,0,34.616,39.065,38.8158,31.9703,38.9924
Almagro,466.59,289.93,-,-,-,27.7935,0,27.7652,27.3778,23.4667,17.3042,19.4011
Almeria,495.82,308.09,-,-,22.2904,31.763,0,32.5976,40.2016,31.9307,32.7209,25.6162
Aloguinsan,559.57,347.7,-,23.7123,22.0219,24.7473,0,36.5097,36.7291,27.9097,26.2772,23.0403
Aloran,752.69,467.7,-,32.6683,29.1218,32.0326,0,39.2713,37.721,32.3675,31.5778,33.927
Altavas,376.19,233.75,-,-,-,32.1724,0,35.844,36.1079,29.9501,29.3749,27.5282
Alubijid,769.36,478.06,29.0479,32.5934,29.3262,36.6812,0,37.9211,40.7283,34.5679,32.9436,32.3629
Amadeo,46.07,28.63,-,-,24.9796,33.9718,0,40.233,39.5014,34.7653,35.3384,32.9745
Amai Manabilang,855.73,531.73,-,-,-,-,-,-,-,30.1513,28.1017,12.5723
Ambaguio,216.01,134.22,-,-,15.7603,30.252,0,35.0462,36.9618,30.6027,23.5099,29.2947
Amlan,618.43,384.28,-,32.9301,25.5072,35.6699,0,36.0902,35.2939,30.7651,30.3189,26.4952
Ampatuan,941.93,585.29,-,-,-,-,-,-,-,30.7133,30.8401,33.7974
Amulung,370.8,230.4,-,26.3861,21.749,16.5431,0,31.899,26.5177,25.8018,24.0619,27.1694
Anahawan,667.58,414.82,-,-,-,24.5459,0,25.802,33.4354,27.0484,21.2979,21.6541
Anao,132.91,82.58,-,12.1166,25.0182,31.8989,0,34.1907,36.6989,32.5693,31.0773,32.9269
Anda (BL),666.91,414.4,-,17.6781,23.62,21.7837,0,35.4702,35.3667,35.4698,26.6296,28.4435
Anda (PS),217.69,135.27,-,-,14.0791,25.5491,0,35.5559,36.5,31.8372,28.4041,28.0227
Angadanan,265.19,164.78,-,25.2595,9.261,34.8722,0,38.2649,39.7454,32.1546,29.4432,30.1996
Angat,41.86,26.01,26.1578,25.1951,22.127,28.0525,0,24.6777,36.2924,29.874,26.2317,32.7858
Angeles,72.78,45.22,41.1437,39.4224,31.2991,40.0496,36.3327,35.1168,35.0568,30.9681,36.5357,35.4969
Angono,20.33,12.63,37.9295,41.1206,37.6267,48.2948,0,45.2941,45.728,41.5365,38.6701,41.1974
Anilao,444.65,276.29,-,26.7196,23.2234,29.8825,0,36.5629,38.8488,33.0919,32.4554,31.0073
Anini-Y,473.43,294.18,-,-,22.5719,10.7941,0,33.8571,35.8283,27.9134,25.9844,25.073
Antequera,623.07,387.16,-,24.4845,26.8411,32.9527,0,36.7564,38.6046,33.942,28.4772,20.9833
Antipas,929.43,577.52,10.1219,29.5981,25.9009,37.1435,0,36.3762,38.5489,33.4605,31.7672,33.7564
Antipolo,21.07,13.09,37.2598,44.6025,45.5015,55.4392,51.5332,59.6824,60.6971,52.738,48.1525,50.4242
Apalit,46.87,29.13,-,-,24.4562,29.7019,0,37.8973,37.4911,33.0046,29.618,30.4605
Aparri,425.5,264.39,29.6595,28.591,27.298,37.9346,0,36.8006,37.569,32.053,29.9049,29.4493
Araceli,922.93,573.48,-,-,-,-,0,1.943,29.7972,25.9595,22.454,22.6185
Arakan,462.04,287.1,11.0819,29.8167,26.1951,37.2572,0,35.0945,36.4392,31.4142,27.182,28.1441
Arayat,66.79,41.5,-,-,7.1571,11.0774,0,36.0514,37.2569,33.1707,30.6611,31.2112
Argao,595.53,370.05,32.8652,36.7172,29.1984,37.0074,0,37.0349,40.0321,36.4778,36.2996,38.2191
Aringay,212.52,132.06,19.731,28.6994,26.324,34.7627,0,36.0846,36.715,33.0715,26.9553,33.5262
Aritao,190.92,118.63,-,-,12.5393,34.0111,0,35.4456,39.4071,31.3401,26.8081,29.43
Aroroy,348.64,216.63,12.8877,28.9501,24.7115,32.7813,0,31.9889,35.345,30.9781,27.6249,27.4807
Arteche,546.48,339.57,-,-,-,28.2169,0,30.1006,33.7852,31.2656,30.8688,29.2511
Asingan,161.23,100.19,-,-,19.45,28.774,0,34.7842,36.4516,33.2621,31.2056,31.5596
Asipulo,238.06,147.93,-,-,18.5941,22.7189,0,32.6107,36.2675,34.5268,30.982,33.2949
Asturias,536.45,333.34,-,30.7531,28.7136,34.6158,0,39.8607,37.6642,33.9178,22.676,29.8087
Asuncion,942.44,585.61,29.8043,28.2459,21.0957,31.9453,0,32.5507,34.9607,32.246,29.9499,28.8897
Atimonan,120.49,74.87,28.4729,30.8984,24.671,39.4874,0,35.7555,37.577,31.9021,31.0421,35.2288
Atok,228.49,141.98,-,32.4356,26.8039,28.422,0,27.3872,30.034,28.9629,25.3042,22.3699
Aurora (IA),275.02,170.89,-,33.0295,27.4924,38.1046,0,39.8455,41.116,33.4007,31.885,31.1191
Aurora (ZR),792.33,275.02,30.2,34.4272,24.8394,20.7713,0,15.4636,32.3982,35.3583,27.9212,30.4396
Ayungon,575.67,357.71,-,29.4568,20.5155,33.2723,0,33.1827,33.1799,30.8123,22.0648,22.694
Baao,286.84,178.24,9.1545,29.779,25.2865,32.1131,0,37.1329,37.6353,31.5943,24.9962,24.6642
Babatngon,547.14,339.98,-,0.6176,21.2993,32.6325,0,29.733,34.7193,31.6084,24.3447,22.8773
Bacacay,336.1,208.84,22.5148,23.1857,18.3473,24.91,0,34.133,37.4702,33.0384,26.9731,28.2427
Bacarra,411.37,255.61,26.6382,35.801,33.7581,38.7365,0,38.7912,40.0061,36.9605,33.9182,34.3373
Baclayon,637.31,396,-,27.1788,22.2794,31.1222,0,35.6247,34.1741,28.7517,29.2462,20.9803
Bacnotan,246.96,153.45,13.9432,32.4902,27.771,33.5624,0,36.9745,38.406,34.8546,32.9907,38.2254
Bacolod (LN),786.4,488.64,-,32.3514,29.9822,38.1377,0,37.0814,41.0502,32.9766,31.4538,34.7701
Bacolod (NO),486.17,302.09,38.5863,30.1661,32.6705,41.0577,50.5354,43.2633,43.3213,38.6416,45.2061,41.1841
Bacolod-Kalawi,823.68,511.81,-,-,-,-,-,-,-,29.6458,25.2737,28.8699
Bacolor,57.83,35.94,-,26.9403,26.2232,36.1001,0,41.2979,43.0227,34.8967,36.6173,35.8822
Bacong,644.75,400.63,-,25.2914,22.7874,37.2871,0,37.0018,33.209,24.5572,19.7068,24.8323
Bacungan Leon B. Postigo,747.41,464.42,-,-,4.165,2.2825,0,30.6105,31.8126,29.9104,25.533,29.3317
Badian,586.43,364.39,-,14.2471,24.3477,38.0056,0,41.8747,42.728,33.5948,28.4147,24.4877
Badiangan,434.74,270.13,-,12.8088,19.437,20.8907,0,32.7796,37.2337,31.3228,32.943,30.366
Badoc,375.68,233.43,-,-,24.2393,35.0848,0,38.8053,38.4726,34.7027,32.1745,31.7557
Bagabag,226.82,140.94,-,27.5688,23.0691,33.4429,0,34.1607,34.3081,29.1219,27.5655,25.0075
Bagac,62.73,38.98,23.2585,24.9232,26.0585,27.2271,0,38.1899,38.3891,33.005,32.8518,27.6695
Bagamanoc,364.19,226.3,-,-,-,28.5815,0,29.7709,28.8115,28.255,19.0729,24.7066
Baganga,988.84,614.43,22.824,24.1469,23.099,35.6934,0,36.4292,37.5549,33.7263,29.809,31.7001
Bago,494.58,307.32,24.4225,35.5976,15.932,38.9801,37.599,35.1787,35.1929,32.7553,31.2991,31.5991
Baguio,207.78,129.11,40.8912,40.5316,36.3035,45.4659,43.7642,39.243,38.543,36.9174,38.9157,40.7706
Bagulin,232.47,144.45,-,-,15.709,31.8103,0,35.7377,38.1269,36.1838,27.8805,34.0307
Bagumbayan,976.63,606.85,15.8552,28.9704,26.282,36.3926,0,35.9474,36.5241,33.7536,28.4447,30.3378
Bais,603.87,375.22,16.6055,18.0514,28.2847,35.4291,39.8668,33.4076,29.4222,28.4723,26.3654,28.4628
Bakun,251.89,156.51,-,20.0734,17.4478,17.3733,0,28.2976,30.4036,26.9881,25.1091,21.1886
Balabac,855.5,531.58,-,-,-,-,0,12.4445,23.3531,28.4099,21.2413,22.0166
Balabagan,853.86,530.56,-,-,-,-,-,-,-,33.1153,32.2538,26.4411
Balamban,542.16,336.88,28.0837,30.518,27,35.7182,0,39.0221,39.7808,35.5504,31.1171,33.3842
Balanga,48.49,30.13,37.3057,41.1823,36.5983,39.4457,43.7789,41.1252,40.5582,35.4132,38.5702,39.595
Balangiga,614.67,381.94,-,5.5357,19.4143,23.0423,0,29.7709,27.2102,27.0755,24.7281,20.964
Balangkayan,600.9,373.38,-,-,-,28.1217,0,32.2396,34.1208,26.2928,24.238,25.2772
Balaoan,256.25,159.23,-,25.5078,28.3513,35.8138,0,36.673,37.3355,32.7278,30.9161,32.6254
Balasan,415.61,258.25,-,16.687,18.6744,29.5746,0,36.8705,42.6541,36.4815,32.3837,32.3556
Balatan,281.96,175.2,-,-,17.3316,30.1307,0,31.9011,30.5185,23.6948,25.7065,24.6811
Balayan,76.35,47.44,26.4633,30.6135,25.6238,36.0383,0,34.0039,34.5432,34.211,28.1277,35.8175
Balbalan,322.96,200.67,-,29.9799,22.4268,32.1216,0,29.3335,31.3092,26.4277,26.7235,24.2311
Baleno,359.68,223.5,-,-,15.4162,29.0526,0,26.5802,26.506,20.6368,24.5984,21.2923
Baler,145.4,90.35,34.2072,44.1703,35.9758,45.8802,0,45.7533,46.6162,42.8148,40.9293,39.2937
Balete (AK),371.2,230.65,-,-,29.8544,35.6228,0,34.3873,35.1489,27.9132,29.1043,26.816
Balete (BS),85.87,53.36,-,-,22.0887,33.644,0,34.5598,38.0016,30.3228,27.4799,33.9987
Baliangao,718.01,446.15,-,4.8246,18.2444,29.9349,0,32.9623,31.4722,27.3113,21.5832,23.0789
Balilihan,627.79,390.09,-,30.1929,30.0225,32.5029,0,37.8135,38.3109,31.353,26.6124,28.997
Balindong,820.72,509.97,-,-,-,-,-,-,-,26.742,27.8862,29.6971
Balingasag,770.17,478.56,-,33.0112,29.6068,38.3418,0,37.7313,37.8771,32.9985,29.455,32.8231
Balingoan,749.76,465.88,-,24.9552,24.9006,28.3799,0,35.0884,38.2432,36.8537,24.5981,27.7967
Baliwag,42.11,26.17,21.6292,23.0765,17.4645,38.623,0,50.9596,51.0295,48.0242,41.4428,44.08
Ballesteros,429.62,266.95,-,-,13.0852,34.2189,0,33.6548,35.822,30.6178,19.659,29.025
Baloi,801.18,497.83,-,4.7712,6.6861,7.4342,0,36.1708,42.3979,35.3734,25.2803,30.5305
Balud,371.2,230.65,-,-,-,-,-,27.2929,29.6278,21.6674,16.2263,17.5206
Balungao,149.8,93.08,-,-,16.5695,31.3551,0,36.3966,38.8557,34.9537,33.2679,31.8068
Bamban,88.51,55,-,-,18.8034,22.5859,0,26.5096,33.9234,30.9101,25.6162,29.3334
Bambang,201.41,125.15,24.4719,28.8834,24.3058,34.7987,0,36.6399,35.349,29.8541,30.7537,30.4341
Banate,445.54,276.85,-,24.962,22.5074,28.6652,0,38.5513,38.0812,36.012,32.9822,29.9068
Banaue,259.2,161.06,-,32.5047,28.0793,35.5297,0,36.3462,36.002,28.7887,30.3697,31.2632
Banaybanay,1009.21,627.1,-,7.9485,14.3823,28.9582,0,32.7864,32.5621,29.4365,30.3156,30.2616
