PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aborlan,632.77,393.18,-,-,-,15.3628,0,16.232,15.9895,12.5147,10.5315,11.0596
Abra De Ilog,129.33,80.36,-,-,-,15.5449,0,16.66,16.9096,13.5154,10.4881,10.9406
Abucay,49.76,30.92,-,-,-,16.0361,0,17.0879,17.1377,13.8172,11.4788,11.8282
Abulug,610.31,379.23,-,-,-,15.9547,0,13.2548,15.293,13.4775,10.0173,10.8922
Abuyog,424.01,263.46,-,-,-,16.1991,0,16.7675,16.6106,12.1299,10.3719,11.3359
Adams,429.31,266.76,-,-,-,15.2335,0,16.3018,17.3885,13.7342,8.7418,11.5167
Agdangan,128.13,79.62,-,-,-,15.4705,0,15.8295,16.1512,12.8538,11.573,11.4137
Aglipay,222.03,137.96,-,-,-,16.1614,0,15.5953,16.9851,13.5067,11.3877,11.1982
Agno,210.09,130.54,-,-,-,15.0074,0,16.6419,16.8532,13.4944,11.4881,11.5917
Agoncillo,71.01,44.13,-,-,-,13.5079,0,16.8938,16.9247,12.2066,9.9,10.8548
Agoo,204.28,126.93,-,-,-,16.3728,0,17.3417,17.9333,15.1421,12.5901,13.826
Aguilar,163.54,101.62,-,-,-,15.8284,0,16.8662,16.8914,13.4072,11.4054,11.4597
Aguinaldo,269.16,167.25,-,-,-,9.2182,0,15.1355,15.4892,11.8735,8.6975,9.1488
Agutaya,381.49,237.05,-,-,-,-,0,0,11.3989,10.5384,11.0378,10.8043
Ajuy,449.6,279.37,-,-,-,15.4299,0,16.5331,15.8559,13.1533,9.6936,10.8887
Akbar,890.93,553.6,-,-,-,-,-,-,-,-,5.8954,7.0487
Al-Barka,904.55,562.06,-,-,-,-,-,-,-,-,3.4998,3.9515
Alabat,124.02,77.06,-,-,-,13.754,0,15.6881,15.9753,11.8344,11.6859,11.6004
Alabel,1054.2,655.05,-,-,-,16.3727,0,17.4451,18.0168,14.3541,12.2559,12.3021
Alamada,890.17,553.13,-,-,-,16.0482,0,16.7838,16.372,13.3997,11.4316,11.4936
Alaminos (LA),66.45,41.29,-,-,-,16.2525,0,15.6974,16.019,13.5526,11.4732,11.4187
Alaminos (PS),203.21,126.27,-,-,-,17.0742,17.0292,16.7824,17.0229,13.6454,11.5582,11.6829
Alang-Alang,654.74,406.83,-,-,-,3.6977,0,16.2259,16.9226,13.2917,10.9251,11.4144
Albuera,573.09,356.1,-,-,-,15.1789,0,15.5462,16.3267,13.3954,11.4561,11.4327
Alburquerque,642.61,399.3,-,-,-,15.5331,0,16.6978,17.2715,13.4897,11.0312,11.4104
Alcala (CG),374.12,232.47,-,-,-,14.4116,0,12.7351,16.2864,12.7366,10.8765,11.2865
Alcala (PS),146.61,91.1,-,-,-,11.8662,0,16.871,16.8538,13.563,11.4785,11.4777
Alcantara (CU),578.64,359.55,-,-,-,14.5921,0,15.1267,13.9149,10.4342,10.3948,9.2625
Alcantara (RN),281.14,174.69,-,-,-,12.4418,0,0,13.8518,13.6429,11.321,11.4873
Alcoy,597.17,371.06,-,-,-,11.2761,0,16.5742,16.922,11.6657,9.4845,9.8583
Alegria (CU),581.43,361.29,-,-,-,14.94,0,15.0473,16.2722,12.1695,10.1573,10.3594
Alegria (SN),759.15,471.72,-,-,-,16.3452,0,16.867,17.1487,12.2275,10.8652,11.4601
Aleosan,914.25,568.09,-,-,-,16.2113,0,17.1924,17.2277,13.884,11.5985,11.576
Alfonso,51.07,31.73,-,-,-,15.6824,0,15.1405,13.6672,13.3744,11.368,11.5771
Alfonso Castaneda,139.24,86.52,-,-,-,13.6337,0,14.101,16.3992,12.5106,11.3527,10.3109
Alfonso Lista,264.78,164.53,-,-,-,14.0287,0,16.7975,17.5629,14.2393,10.6049,11.6317
Aliaga,101.3,62.95,-,-,-,14.363,0,15.4348,15.0322,12.5494,11.0412,10.8923
Alicia (BL),644.25,400.32,-,-,-,10.4809,0,16.0104,16.46,13.419,10.3006,10.2308
Alicia (IA),254.24,157.98,-,-,-,15.6722,0,15.5546,16.4934,12.7673,11.3226,10.865
Alicia (ZS),817.61,508.04,-,-,-,0.0077,0,16.5266,16.2534,11.7102,10.8194,10.5149
Alilem,260.68,161.98,-,-,-,14.9387,0,15.7766,15.4479,12.7681,8.7204,11.3209
Alimodian,447.19,277.87,-,-,-,13.6631,0,15.8807,15.8848,13.3528,11.4082,11.4786
Alitagtag,79.79,49.58,-,-,-,14.583,0,16.5076,16.6481,13.3318,11.3529,11.575
Allacapan,409.99,254.76,-,-,-,16.5407,0,17.3382,16.6563,12.9409,11.5794,11.5009
Allen,426.92,265.28,-,-,-,12.8566,0,15.5322,15.3138,13.3519,10.9082,11.24
Almagro,466.59,289.93,-,-,-,11.6128,0,12.4583,10.8441,9.7753,9.3512,9.3075
Almeria,495.82,308.09,-,-,-,14.8947,0,14.3848,16.4458,11.5875,9.7785,10.519
Aloguinsan,559.57,347.7,-,-,-,9.4688,0,16.6345,15.6856,11.9701,9.8992,9.8781
Aloran,752.69,467.7,-,-,-,11.7661,0,16.0774,16.4688,13.5643,11.5023,11.5039
Altavas,376.19,233.75,-,-,-,12.1228,0,16.0384,15.4157,11.5198,9.8796,10.8165
Alubijid,769.36,478.06,-,-,-,14.793,0,16.0038,16.8672,13.4685,10.4739,11.3991
Amadeo,46.07,28.63,-,-,-,13.253,0,15.8256,15.8201,12.7295,10.7635,11.2599
Amai Manabilang,855.73,531.73,-,-,-,-,-,-,-,13.2277,11.1976,3.8514
