PROVINCE / LGU,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Abra,-,-,-,-,-,-,-,-,-,-
Agusan Del Norte,-,-,-,-,-,-,-,-,-,-
Agusan Del Sur,-,-,-,-,-,-,-,-,-,-
Aklan,-,-,-,-,-,-,-,-,-,-
Albay,-,-,-,-,-,-,-,-,-,-
Antique,-,-,-,-,-,-,-,-,-,-
Apayao,-,-,-,-,-,-,-,-,-,-
Aurora,-,-,-,-,-,-,-,-,-,-
Basilan,-,-,-,-,-,-,-,-,-,-
Basilan (IX),-,-,-,-,-,-,-,-,-,-
Bataan,-,-,-,-,-,-,-,-,-,-
Batanes,-,-,-,-,-,-,-,-,-,-
Batangas Province,-,-,-,-,-,-,-,-,-,-
Benguet,-,-,-,-,-,-,-,-,-,-
Biliran Province,-,-,-,-,-,-,-,-,-,-
Bohol,-,-,-,-,-,-,-,-,-,-
Bukidnon,-,-,-,-,-,-,-,-,-,-
Bulacan,-,-,-,-,-,-,-,-,-,-
Cagayan,-,-,-,-,-,-,-,-,-,-
Camarines Norte,-,-,-,-,-,-,-,-,-,-
Camarines Sur,-,-,-,-,-,-,-,-,-,-
Camiguin,-,-,-,-,-,-,-,-,-,-
Capiz,-,-,-,-,-,-,-,-,-,-
Catanduanes,-,-,-,-,-,-,-,-,-,-
Cavite Province,-,-,-,-,-,-,-,-,-,-
Cebu Province,-,-,-,-,-,-,-,-,-,-
Cotabato (North Cotabato),-,-,-,-,-,-,-,-,-,-
Davao De Oro,-,-,-,-,-,-,-,-,-,-
Davao Del Norte,-,-,-,-,-,-,-,-,-,-
Davao Del Sur,-,-,-,-,-,-,-,-,-,-
Davao Occidental,-,-,-,-,-,-,-,-,-,-
Davao Oriental,-,-,-,-,-,-,-,-,-,-
Dinagat Islands,-,-,-,-,-,-,-,-,-,-
Eastern Samar,-,-,-,-,-,-,-,-,-,-
Guimaras,-,-,-,-,-,-,-,-,-,-
Ifugao,-,-,-,-,-,-,-,-,-,-
Ilocos Norte,-,-,-,-,-,-,-,-,-,-
Ilocos Sur,-,-,-,-,-,-,-,-,-,-
Iloilo Province,-,-,-,-,-,-,-,-,-,-
Isabela,-,-,-,-,-,-,-,-,-,-
Kalinga,-,-,-,-,-,-,-,-,-,-
La Union,-,-,-,-,-,-,-,-,-,-
Laguna,-,-,-,-,-,-,-,-,-,-
Lanao Del Norte,-,-,-,-,-,-,-,-,-,-
Lanao Del Sur,-,-,-,-,-,-,-,-,-,-
Leyte Province,-,-,-,-,-,-,-,-,-,-
Maguindanao,-,-,-,-,-,-,-,-,-,-
Marinduque,-,-,-,-,-,-,-,-,-,-
Masbate Province,-,-,-,-,-,-,-,-,-,-
Metro Manila,-,-,-,-,-,-,-,-,-,-
Misamis Occidental,-,-,-,-,-,-,-,-,-,-
Misamis Oriental,-,-,-,-,-,-,-,-,-,-
Mountain Province,-,-,-,-,-,-,-,-,-,-
Negros Occidental,-,-,-,-,-,-,-,-,-,-
Negros Oriental,-,-,-,-,-,-,-,-,-,-
Northern Samar,-,-,-,-,-,-,-,-,-,-
Nueva Ecija,-,-,-,-,-,-,-,-,-,-
Nueva Vizcaya,-,-,-,-,-,-,-,-,-,-
Occidental Mindoro,-,-,-,-,-,-,-,-,-,-
Oriental Mindoro,-,-,-,-,-,-,-,-,-,-
Palawan,-,-,-,-,-,-,-,-,-,-
Pampanga,-,-,-,-,-,-,-,-,-,-
Pangasinan,-,-,-,-,-,-,-,-,-,-
Quezon,-,-,-,-,-,-,-,-,-,-
Quirino,-,-,-,-,-,-,-,-,-,-
Rizal,-,-,-,-,-,-,-,-,-,-
Romblon Province,-,-,-,-,-,-,-,-,-,-
Samar (Western Samar),-,-,-,-,-,-,-,-,-,-
Sarangani,-,5.0191,5.0473,2.2818,0.0000,2.0293,4.5631,4.7747,4.2274,2.8134
Siquijor Province,-,-,-,-,-,-,-,-,-,-
Sorsogon Province,-,-,-,-,-,-,-,-,-,-
South Cotabato,-,-,-,-,-,-,-,-,-,-
Southern Leyte,-,-,-,-,-,-,-,-,-,-
Sultan Kudarat,-,-,-,-,-,-,-,5.0233,4.0354,3.4710
Sulu,-,-,-,-,-,-,-,-,-,-
Surigao Del Norte,-,-,-,-,-,-,-,-,-,-
Surigao Del Sur,-,-,-,-,-,-,-,-,-,-
Tarlac Province,-,-,-,-,-,-,-,-,-,-
Tawi-Tawi,-,-,-,-,-,-,-,-,-,-
Zambales,-,-,-,-,-,-,-,-,-,-
Zamboanga City,-,-,-,-,-,-,-,-,-,-
Zamboanga Del Norte,-,-,-,-,-,-,-,-,-,-
Zamboanga Del Sur,-,-,-,-,-,-,-,-,-,-
Zamboanga Sibugay,-,-,-,-,-,-,-,-,-,-
